# salmonsen/2/9/Articles.lst
#
index|Titel og indhold|0005 0007
|Accentbetegnelse og Lydskrift|0009-0010
|Medarbejdere|0011-0012
|Forkortelser|1137-1138
|Fortegnelse over Illustrationer|1139-1140
|Rettelser og Trykfejl|1141-1142
#
-|<h2>L</h2>|
|Ludolf, Hiob|0013
|Ludolph van Ceulen|0013
|Ludovici|0013
|Ludovisi|0013
|ludus de sancto Canuto duce|0013
|Ludvig (Mandsnavn)|0013
|Ludvig Vilhelm|0014
|Ludvig I (Konge i Bayern)|0014
|Ludvig II (Konge i Bayern)|0014-0015
|Ludvig II den Stammende (Konge af Frankrig)|0015
|Ludvig III (Konge af Frankrig)|0015
|Ludvig IV (Konge af Frankrig)|0015
|Ludvig V (Konge af Frankrig)|0015
|Ludvig VI (Konge af Frankrig)|0015
|Ludvig VII (Konge af Frankrig)|0015-0016
|Ludvig VIII (Konge af Frankrig)|0016
|Ludvig IX den Hellige (Konge af Frankrig)|0016
|Ludvig X (Konge af Frankrig)|0016-0017
|Ludvig XI (Konge af Frankrig)|0017-0018
|Ludvig XII (Konge af Frankrig)|0018
|Ludvig XIII (Konge af Frankrig)|0018-0020
|Ludvig XIV (Konge af Frankrig)|0020-0022
|Ludvig XV (Konge af Frankrig)|0022-0023
|Ludvig XVI (Konge af Frankrig)|0023-0024
|Ludvig XVII (fransk Tronfølger)|0024
|Ludvig XVIII (Konge af Frankrig)|0024-0025
|Ludvig Filip I (Konge af Frankrig)|0025-0026
|Ludvig I den Fromme (Kejser i det frankiske Rige)|0026
|Ludvig II (Konge af Italien)|0026
|Ludvig III (Konge af Burgund og af Italien og Kejser)|0026
|Ludvig IV af Bayern|0027
|Ludvig (Storhertuger af Hessen)|0027
|Ludvig (Konger af Neapel)|0027
|Ludvig (Landgrever af Thüringen)|0027-0028
|Ludvig den Tyske (Konge af Tyskland)|0028
|Ludvig III, Barn (Konge af Tyskland)|0028
|Ludvig I (Konge i Ungarn)|0028
|Ludvig II (Konge i Ungarn)|0028
|Ludvig Salvator|0028
|Ludvig, Albertsön|0028
|Ludvig Bonaparte|0028
|Ludwig, Alfred|0028
|Ludwig, Karl|0028
|Ludwig, Karl Friedrich Wilhelm|0028-0029
|Ludwig, Otto|0029
|Ludwigit|0029
|Ludwigsburg|0029
|Ludwigshafen|0029-0030
|Ludwigs-Kanal|0030
|Ludwigslust|0030
|Lueger, Karl|0030
|Lues|0030
