# salmonsen/2/19/Articles.lst
#
index|Titel og indhold|0003 0005
|Accentbetegnelse og Lydskrift|0007-0008
|Medarbejdere|0009-0010
|Forkortelser|1143-1144
|Fortegnelse over Illustrationer|1145-1146
|Rettelser og Trykfejl|1147-1148
#
-|<h2>P</h2>|
|Perlit|0011
|perludere|0011
|Perm|0011-0012
|per majora|0012
|per mandatarium|0012
|permanent|0012
|permanent Befæstning|0012
|permanente Luftarter|0012
|Permanentgrønt|0012
|Permanenthvidt|0012
|Permanganater|0012
|permeabel|0012
|Permeabilitet|0012
|Permier|0012
|per mille|0012
|Permiske Formation|0012-0013
|Permiske Sprog|0013
|Permission|0013
|permokarbonske Istid|0013
|Permoser, Balthasar|0013
|permutatio|0013
|Permutationer|0013
|Pernambuco|0013-0014
|Pernambuktræ|0014
|Pernau|0014
|per nefas|0014
|Pernes|0014
|Pernice|0014
|perniciøs|0014
|Pernidæ|0014
|Perniones|0014
|Pernis|0014
|Pernots Ovn|0014
|Péron, François|0014
|Peronealmuskler|0015
|Peronin|0015
|Péronne|0015
|Peronospora|0015
|Peronosporaceæ|0015
|peronæus|0015
|Peropoda|0015
|perorere|0015
|Perosa Argentina|0015
|Perosi, Lorenzo di|0015
|Perote|0015
|Perov, Wassilij Grigorjevitsch|0015-0016
|Perovskaja, Sofia|0016
|Perovskij, Vassilij Alexejevitsch|0016
|Perovskit|0016
|Peroxyder|0016
|per pedes|0016
|Perpendikel|0016
|Perpendikularstil|0016
|perpendikulær|0016
|Perperna, Marcus|0016
|perpetuel|0016
|Perpetuum mobile|0016-0017
|Perpignan|0017
|perpleks|0017
|per procura|0017
|Perraud, Jean Joseph|0017
|Perrault, Claude|0017
|Perrault, Charles|0017-0018
|Perréal, Jean|0018
|Perrens, François Tommey|0018
|Perret, Aimé|0018
|Perrier, François|0018
|Perrin, Jean Baptiste|0018
|Perrin, Pierre|0018
|Perrine, Charles Dillon|0018-0019
|Perron|0019
|Perrone, Giovanni|0019
|Perronneau, Jean-Baptiste|0019
|Perronet, Jean Rodolphe|0019
|Perrot, Georges|0019
