# salmonsen/2/19/Articles.lst
#
index|Titel og indhold|0003 0005
|Perrotin, Joseph|0019
|Perrotine|0019
|Perry|0019
|Perry, Matthew Calbraith|0019-0020
|Perry, Stephen Joseph|0020
|per saldo|0020
|Persano, Carlo, Greve Pellioni di|0020
|per se|0020
|Persea|0020
|Persefone|0020-0021
|Perseiderne|0021
|Persepolis|0021-0022
|Perserkrigene|0022
|Perseus (Søn af Zeus og Danaë)|0022
|Perseus (Konge af Makedonien)|0022-0023
|Perseus (Stjernebillede)|0023
|Perseus, Edvard|0023
|Persevanter|0023
|Perseverans|0023
|Pershing, John Joseph|0023
|Persiani, Fanny|0023
|Persica|0023
|Persico|0023
|Persien|0024-0035
|Persienner|0035
|Persiflage|0035
|Persigny, Victor Fialin de|0035-0036
|Persille|0036
|Persille, Vild|0036
|Persio|0036
|Persis|0036
|persisk Arkæologi|0036-0037
|persiske Bugt|0037
|persiske Hav|0037
|persisk Fajance|0037
|persisk Insektpulver|0037
|persisk Sprog og Litteratur|0037-0040
|Persius Flaccus, Aulus|0040
|Person|0040-0041
|Personage|0041
|persona grata|0041
|Personale|0041
|Personaleksekution|0041
|Personalhistorie|0041
|Personalia|0041
|Personalitetsprincip|0041
|Personalkredit|0041
|Personalskatter|0041
|Personalunion|0041-0042
|persona publica|0042
|Personatæ|0042
|Personel|0042
|personelt Falsk|0042
|Personifikation|0042
|personlig Bemærkning|0042
|Personlighed|0042
|personlig Ligning|0042
|personlig Sandhed|0043
|Personne, Nils Edvard|0043
|Personregistre|0043
|Personret|0043
|Persontog|0043
|Personvogn|0043
|Persoon, Christian Hendrik|0043-0045
|Persulfater|0045
|Persulfocyangult|0045
|Persulfocyansyre|0045
|Persvovlsyre|0045
|Pert|0045
|pertentlig|0045
|Perth (Shire i Mellemskotland)|0045
|Perth (By i Skotland)|0045-0046
|Perth (Hovedstad i Vestaustralien)|0046
|Perth Amboy|0046
|Perthes|0046
|Pertinax, Publius Helvius|0046
|Pertit|0046
|Pertinens|0046
|per tot discrimina rerum|0046
|Pertuis|0046
|Perturbation|0046-0047
|Pertusaria|0047
|Pertussis|0047
|Pertyrline|0047
|Pertz, Georg Heinrich|0047-0048
|Peru|0048-0051
|Peru (byer i U. S. A.)|0051
|Perubalsam|0051-0052
|Perugia|0052
|Perugino|0052
|Peruguano|0052
|Perugummi|0052
|Perun|0052
|Perusalpeter|0052
|Perusia|0052
|Perusølv|0052
|Peruwelz|0052
|Peruzzi, Baldassare|0052-0053
|Peruzzi, Ubaldino|0053
|pervers|0053
|Perversitet|0053
|Pervigilium|0053
|per vulgata|0053
|Peræa|0053
|Pes|0053
|Pesa|0053
|Pesade|0053
|pesante|0053
|Pesarese, il|0053
|Pesaro|0053
|Pesaro e Urbino|0053-0054
|Pescadores|0054
|Pescara|0054
|Pescara, Fernando Francesco d'Avalos, Marki af|0054
|Pescatori, Isola del|0054
|Pescennius Niger|0054
|Peschcke-Køedt|0054
|Peschel, Oscar|0054
|Peschiera|0054
|Pescia|0054
|Pescina|0054
|Pesel|0054-0055
|Pesellino, Francesco|0055
|Peseta|0055
|Peshavar|0055
|Pesheræer|0055
|Peshine-Smith, Erasmus|0055
|Peshitta|0055
|Pesne, Antoine|0055
|Peso|0055-0056
|Pêso da Rêgoa|0056
|Pessard, Émile Louis Fortuné|0056
|Pessarium|0056
|Pessimisme|0056
|Pessinus|0056
|Pest (Del af Budapest og Komitat i Ungarn)|0056
|Pest (Sygdomme)|0056-0059
|Pestalozzi, Johan Heinrich|0059-0061
|Pestel, Paul|0061
|Pester Lloyd|0061
|Pestilens|0061
|Pestilensurt|0061
|Pestmester|0061
|Pestrod|0061
|Petain, Henri Philippe|0061
|Petalisme|0061
|Petalit|0062
|Petalodi|0062
|Petaluma|0062
|Petanang|0062
|Petar I|0062
|Petarde|0062
|Petasites|0062
|Petasos|0062
|Petaurus|0062
|Petechier|0062
|Petén|0062
|Peter (Mandsnavn)|0062
|Peter (en af Jesu Apostle)|0062-0063
|Peter af Aragonien, Kastilien og Portugal|0063
|Peter I Alexejevitsch, den Store|0063-0066
|Peter II Alexejevitsch|0066
|Peter III Feodorovitsch|0066-0067
|Peter I (Konge af Serbien)|0067
|Peter af Husastad|0067
|Peter fra Ailly|0067-0068
|Peter fra Amiens|0068
|Peter fra Aspelt|0068
|Peter fra Bruys|0068
|Peterborough (By i England)|0068
|Peterborough (By i Canada)|0068
|Peter den Stores Bugt|0068
|Peter den Stores Kanal|0068
|Peterhead|0068
|Peterhof|0068
|Petermann, August|0068
|Petermann, Julius Heinrich|0068-0069
|Petermanns Fjord|0069
|Petermanns Spids|0069
|Peter Parley|0069
|Peter-Pauls-Festen|0069
|Peters|0069
|Peters, Carl|0069
|Peters, Christian August Friedrich|0069
|Peters, Christian Carl|0069-0070
|Peters, Christian Heinrich Friedrich|0070
|Peters, Karl Friedrich|0070
|Peters, Wilhelm|0070
|Peters, Wilhelm Karl Hartwig|0070
|Petersakterne|0070
|Petersapokalypsen|0070-0071
|Petersborg-Deklarationen|0071
|Petersborg Standard|0071
|Petersbrevene|0071-0073
|Petersburg|0073
|Petersdorff|0073
|Petersen, , Heinrich Angeln-|0073
|Petersen, Carl|0073
|Petersen, Carl Georg Johannes|0073-0074
|Petersen, Carl Sophus|0074
|Petersen, Christian Ulrich Emil|0074
|Petersen, Clemens Christoffer Mathias|0074
|Petersen, Edvard Frederik|0074-0075
|Petersen, Eugen|0075
|Petersen, Eugen A. H.|0075
|Petersen, Fredrik|0075-0076
|Petersen, Frederik Christian|0076
|Petersen, Hans|0076
|Petersen, Hans Christian|0076
|Petersen, Hans Gyde|0076
|Petersen, Henning Eiler|0076
|Petersen, Holger|0076
|Petersen, Jacob Julius|0076-0077
|Petersen, Jens Vilhelm|0077
|Petersen, Johan Erik Christian|0077
|Petersen, Johanne Kirstine Vilhelmine|0077
|Petersen, Johannes|0077
|Petersen, Julius Christian|0077
|Petersen, Julius Magnus|0078
|Petersen, Jørgen|0078
|Petersen, Karl Nikolaj Henry|0078
|Petersen, Lorents Christian Severin|0078
|Petersen, Mozart|0078
|Petersen, Niels Matthias|0079
|Petersen, Nielsine Caroline|0079-0080
|Petersen, Otto Georg|0080
|Petersen, Ove|0080
|Petersen, Peter (dansk Medaillør)|0080
|Petersen, Peter|0080-0081
|Petersen, Peter Christian Julius|0081
|Petersen, Peter Siegwart Blumenthal|0081
|Petersen, Peter Thomsen|0081-0082
|Petersen, Richard|0082
|Petersen, Robert Storm|0082
|Petersen, Rosalie|0082
|Petersen, Søren Henrik|0082
|Petersen, Theodor Emil|0082
|Petersen, Vilhelm Valdemar|0082-0083
|Petersen's Jomfrukloster, Brødrene|0083
|Petersen, Smith|0083
|Petersen-Studnitz, Otto Aleksis|0083
|Petersevangeliet|0083
|Petersfisken|0083
|Petersilje|0083
|Peterskirke|0083
|Peterson, Johan Ludvig|0083-0084
|Peterson-Berger, Olof Wilhelm|0084
|Peterspenge|0084
|Peters Prædiken|0084
|Peterssen, Hjalmar Eilif Emanuel|0084-0085
|Petersson, Axel Jakob|0085
|Petersson, Axel Robert|0085
|Petersson, Per Alfred|0085
|Peter Steyper|0085-0086
|Peterswaldau|0086
|Peterwardein|0086
|Petic|0086
|Petinet|0086
|Petinetglas|0086
|Pétion|0086
|Pétion de Villeneuve, Jérôme|0086
|petiotisere|0086
|Petit|0086
|Petit, Adrien|0086
|Petit, Alexis Thérèse|0086
|Petit, Jean Louis|0086
|Petit de Julleville, Louis|0086-0087
|Petite-Pierre|0087
|Petitesse|0087
|Petitgrainolie|0087
|Petition|0087
|petitio principii|0087
|Petit Journal|0087
|petit-maître|0087
|petit-mal|0087
|Petitorieklage|0087
|Petitot, Émile|0087
|Petitot, Jean og Jean Louis|0087
|Petit-Quevilly|0087
|petits-fours|0087
|Petitum|0087
|Petjeneger|0087
|Peto, Samuel Morton|0087-0088
|Petone|0088
|Petong|0088
|Petorca|0088
|Petra|0088
|Petoskey|0088
|Petralia Soprana|0088
|Petrarca, Francesco|0088-0090
|Petre, Torsten|0090
|Petrefakter|0090
|Petrejus, Marcus|0090
|Petri, Henri|0090
|Petri, Julius|0090
|Petri, Laurentius|0090
|Petri, O.|0090
|petridilauniske Flod|0090
|Petrie, Sir William Matthew Flinders|0090-0092
|Petri Kirke|0092-0093
|Petri Lænkefest|0093
|Petrinja|0093
|Petro-Alexandrovsk|0093
|Petrobrusianere|0093
|Petrograd|0093-0101
|Petrografi|0101
|Petrokov|0101
|Petrolea|0101
|Petroleum|0101-0103
|Petroleumsbaad|0103
|Petroleumsbenzin|0103
|Petroleumskogeapparat|0103
|Petroleumslager|0103
|Petroleumslampe|0103
|Petroleumsmaleri|0103
|Petroleumsmaskine|0103
|Petroleumsmotor|0103
|Petroleumsovn|0103
|Petroleumsskat|0103
|Petroleumsæter|0103
|Pétroleur, Pétroleuse|0103
|Petrolin|0103
|Petrologi|0103
|Petromyzon|0103
|Petronius|0104
|Petropavlovsk|0104
|Petropolis|0104
|Petrosavodsk|0104
|Petroselinum|0104
|Petrovaradin|0104
|Petrovitsch|0104
|Petrovsk|0104
|Petrovski|0104
|Petrovskoje|0104
|Petrucci, Ottaviano|0104
|Petrus|0104
|Petrus de Dacia|0104
|Petrus de Vinea|0104
|Petrus Eremita|0104
|Petrus Lombardus|0104
|Petrus Martyr|0104
|Petrus Valdez|0104
|Petrus Venerabilis|0104-0105
|Petræiske Arabien|0105
|Petschersk|0105
|Petscherskij|0105
|Petschnikoff, Alexander|0105
|Petschora|0105
|Petshill|0105
|Petshill-Bugten|0105
|Pettau|0105
|Pettenkofen, August Xaver Carl v.|0105
|Pettenkofer, Max von|0105-0106
|Pettersen, Hjalmar Marius|0106
|Pettersen, Karl Johan|0106
|Petterson, Sven Otto|0106
|Pettie, John|0106-0107
|Petto|0107
|Petty, William|0107
|Petulans|0107
|petum optimum subter solem|0107
|Petuna|0107
|Petunia|0107
|Petworth|0107
|Petzholdt, Ernst Christian Frederik|0107
|Petzit|0107
|Petzval, Joseph|0108
|Petöfi, Alexander|0108
|peu à peu|0108
|Peucedanum|0108
|Peucer, Kaspar|0108
|Peurbach, Georg|0108
|Peutinger, Konrad|0108
|Pewter|0108
|Peyer'ske Plaques|0108
|Peymann, Henrik Ernst|0108-0109
|Peyron, Alexandre Louis Joseph|0109
|Peyron, Amadeo|0109
|Peyronnet, Charles J.|0109-0110
|Peyssonelia|0110
|Peytral, Paul L.|0110
|Pézenas|0110
|Peziza, Pezizaceæ|0110
|Pezophaps|0110
|Pfaff, Friedrich|0110
|Pfaff, Johann Friedrich|0110
|Pfaffenhofen|0110
|Pfalz (Område)|0110
|Pfalz (tysk Provins)|0110-0112
|Pfalzburg|0112
|Pfalzgrever|0112
|Pfalziske Arvefølgekrig|0112
|Pfander, Karl Gottlieb|0112-0113
|Pfannschmidt, Karl Gottfried|0113
|Pfau, Karl Ludwig|0113
|Pfeffel, Gottlieb Konrad|0113-0114
|Pfeffer, Wilhelm|0114
|Pfeiffer, Franz|0114
|Pfeiffer, Ida|0114
|Pfeiffer, Ludwig Georg Karl|0114
|Pfeiffer, Ludwig Karl Ehrenfried|0114-0115
|Pfeiffer, Richard Friedrich Johannes|0115
|Pfeiffers Prøve|0115
|Pfennig|0115
|Pfingsten, Georg Wilhelm|0115
|Pfister, Albrecht|0115
|Pfitzner, Hans|0115-0116
|Pfizer|0116
|Pfizer, Paul Ach.|0116
|Pflanzer-Baltin, Karl|0116
|Pfleiderer, Otto|0116
|Pflüger, Eduard Friedrich Wilhelm|0116-0117
|Pfohl, Ferdinand|0117
|Pfordten, Hermann von der|0117
|Pfordten, Ludwig der|0117
|Pfordten, Otto von der|0117
|Pforta|0117
|Pforzheim|0117
|Pfuhl, Johannes|0117
|Pfullingen|0117-0118
|p. f. v.|0118
|Pfäfers|0118
|Ph|0118
|Phacelia|0118
|Phacochoerus|0118
|Phacops|0118
|Phaistos|0118-0119
|Phajus|0119
|Phalacrocorax|0119
|Phalangista|0119
|Phalangium|0119
|Phalanstère|0119
|Phalanx|0119
|Phalaris|0119
|Phalaropus|0119
|Phallaceæ, Phallus|0119
|Phalsbourg|0119
|Phalænidæ|0119
|Phanagoria|0119
|Phanerogamæ|0119
|Pharbitis|0119
|Pharyngobranchii|0119
|Pharyngognathi|0119
|Pharynx|0119
|Phascolarctos|0119
|Phascolomys|0119
|Phascolotherium|0119
|Phascum|0119
|Phaseolus|0119
|Phasianus|0119
|Phasmidæ|0119
|Phazania|0119
|Phegopteris|0119
|Pheidias|0120
|Phelps, Samuel|0120
|Phenacetin|0120
|Phénicienne|0120
|Phenoxazin|0120
|Pheræ|0120
|Philadelphia|0120-0121
|Philadelphus|0121
|Philanthus|0121
|Philidor, François André Danican|0121
|Philipon, Charles|0121
|Philippe, A.|0121
|Philippe, Charles-Louis|0121
|Philippeville|0121
|Philippeville|0121
|Philippi|0121
|Philippi, Felix|0121-0122
|Philippi, Friedrich Adolf|0122
|Philippopel|0122
|Philippoteaux, Felix Emanuel Henri|0122
|Philippovich, Eugen von|0122
|Philippsburg|0122
|Philippson, Ludvig|0122
|Philippson, Martin|0122
|Philippsthal|0122-0123
|Philips, Ambrose|0123
|Philips, John|0123
|Philipsen, Gustav|0123
|Philipsen, Harald Aron Peter|0123
|Philipsen, Philip Gerson|0123
|Philipsen, Theodor Esbern|0123-0124
|Phillimore, Robert Joseph|0124
|Phillip, John|0124-0125
|Phillips, George|0125
|Phillips, John|0125
|Phillips, Stephen|0125
|Phillips, Theodore Evelyn Reece|0125
|Phillips, Thomas|0125
|Phillipsburg|0125
|Philipotts, Eden|0125
|Phil May|0125
|Philodéndron|0125-0126
|Philodinidæ|0126
|Philodrominæ|0126
|Philonotis|0126
|Philopterinæ|0126
|Philtrum|0126
|Phister, Joachim Ludvig|0126-0128
|Phister, Louise Amalie Petrine|0128
|Phlegræi Campi|0128
|Phleum|0128-0129
|Phlomis|0129
|Phlox|0129
|Phloxine, T. A.|0129
|Phoca|0129
|Phocæna|0129
|Phocidæ|0129
|Phocomelus|0129
|Phocæa|0129
|Phoenix (Byer i U. S. A.)|0129
|Phoenix (Slægt af Palmerne)|0129-0130
|Phoenixville|0130
|Pholadidæ|0130
|Phoma|0130-0131
|Phorbantia|0131
|Phoridæ|0131
|Phormium|0131
|Phoronis|0131
|Phosphoros (se Morgenstjerne)|0131
|Phosphoros (svensk litterært Maanedsskrift)|0131
|Photius|0131
|Photobacterium|0131
|Phoxinus|0131
|Phra|0131
|Phragmen, Lars Edvard|0131
|Phragmidium|0131-0132
|Phragmites|0132
|Phryganea|0132
|Phrynidæ|0132
|Phrynosoma|0132
|Phthirius|0132
|Phthisis|0132
|Phul|0132
|Phycit|0132
|Phycocyan|0132
|Phycoerythrin|0132
|Phycomyces|0132
|Phycomycetes|0132
|Phycophæin|0132
|Phylica|0132
|Phyllachora|0132
|Phyllactinia|0132
|Phyllanthus|0132
|Phylobius|0132
|Phyllocactus|0132
|Phyllocladium|0132
|Phyllocoptes|0132
|Phyllodoce|0132
|Phyllopertha|0132
|Phyllopoda|0132
|Phyllopseustes|0132
|Phyllosiphonaceæ|0132
|Phyllosticta|0133
|Phyllostomatidæ|0133
|Phylloxera|0133
|Physa|0133
|Physalis|0133
|Physalus|0133
|Physeter|0133
|Physcia|0133
|Physiologus|0133
|Physoclysti|0133
|Physoderma|0133
|Physopoda|0133
|Physostigma|0133
|Physostomi|0133
|Phytelephas|0133-0134
|Phyteuma|0134
|Phytolacca|0134
|Phytolaccaceæ|0134
|Phytodiniaceæ|0134
|Phytomonadinæ|0134
|Phytophthora|0134-0135
|Phytoptidæ|0135
|Phædrus|0135
|Phæocystis|0135
|Phæophyceæ|0135
|Phæosporales|0135
|Phønicopterus|0135
|Phønix|0135
|Phønixpalme|0135
|pi|0135
|pia causa|0136
|Piacenza|0136
|piacere|0136
|Piada|0136
|piacevole|0136
|pia desideria|0136
|Piaffer|0136
|pia fraus|0136
|Piaggia, Carlo|0136
|pia mater|0136
|Pian|0136
|Piana dei Greci|0136
|piangendo|0136
|Pianino|0136
|pianissimo|0136
|Pianist|0136
|piano|0136
|Pianoforte|0136
|Pianola|0136-0137
|Pianopedalen|0137
|Pianosa|0137
|Piarister|0137
|Piassavapalme|0137
|Piassavatrævler|0137
|Piast|0137
|Piaster|0137
|Piatra|0137
|Piatti, Alfredo|0137
|Piatti|0137
|Piauhy|0137
|Piave|0137
|Piazza (Plads)|0137
|Piazza (By paa Sicilien)|0137
|Piazza (ital. Kunstnerfamilie)|0137-0138
|Piazzetta, Giovanni Battista|0138
|Piazzi, Guiseppe|0138
|Pibe (fløjtelignende Instrumenter)|0138
|Pibe (Maal for Vin)|0138
|Pibe (Del af de hov- og klovbærende Husdyrs Fod)|0138
|Pibe (Luftkanal)|0138
|Pibe (se Tobakspibe)|0138
|Pibeand|0138
|Pibeblomst|0138
|Pibefisk|0138
|Pibehare|0138
|Pibejern|0138
|Pibeler|0138
|Pibeløg|0138
|Pibere|0138-0139
|Pibestaver|0139
|Pibesvane|0139
|Pibeved|0139
|Pibroch|0139
|Pic|0139
|Pica|0139
|Piçaca|0139
|Picacho de Veleta|0139
|Picard, Alfred Maurice|0139-0140
|Picard, Charles Emile|0140
|Picard, Ernest|0140
|Picard, Edmond|0140
|Picard, Jean|0140-0141
|Picard, Louis Benoît|0141
|Picardant|0141
|Picarder|0141
|Picardie|0141
|Picart|0141
|Picasso, Pablo|0141-0142
|Piccadilly|0142
|Piccini, Nicolo|0142
|Piccolo (Kelnerlærling)|0142
|Piccolo (Musikinstrumenter)|0142
|Piccolomini (gl ital. Adelsslægt)|0142-0143
|Pice|0143
|Picea|0143
|Picen|0143
|Picenum|0143
|Pichegru, Charles|0143-0144
|Pichincha|0144
|Pichler, Adolf|0144
|Pichler, Caroline von|0144
|Pichler, Josef Anton|0144
|Pichon, Pierre Auguste|0144-0145
|Pichon, Stéphen Jean Marie|0145
|Pichurimbønner|0145
|Picidæ|0145
|Pickelhering|0145
|Pickering, Edward Charles|0145-0146
|Pickering, William Henry|0146
|Pickles|0146
|picknick|0146
|Pickuncher|0146
|Pico (en af Azorerne)|0146
|Pico (Maal)|0146
|Pico, Giovanni|0146
|Picoliner|0146
|Picón, Jacinto Octavio|0146
|Picot|0146
|Picot, Auguste Émile|0146
|Picot, François Édouard|0146
|Picou, Pierre Henri|0147
|Picpus-Foreningen|0147
|Picquart, Marie George|0147
|Picrasma|0147
|Picris|0147
|Picter|0147
|Pictet, Adolphe|0147
|Pictet, François Jules P. de la Rive|0147
|Pictet, Raoul|0147
|Pictor|0147
|Pictor, Marius|0147
|Pictou|0147
|Picumnus|0147
|Picus (se Spætte)|0147
|Picus (Træpikker)|0147-0148
|Pidgin-English|0148
|Pidoll, Karl v.|0148
|Pie (Ret)|0148
|Pie (Regningsenhed)|0148
|Pièce|0148
|pied|0148
|Piedecuesta|0148
|Piedestal|0148
|Piedimonte d'Alife|0148
|Piegan|0148
|Piehl, Karl|0148
|Pielach|0148
|Piémont|0148
|Piemonte|0148
|Piemontit|0148
|Pienemann, Jan Willem|0148
|pieno|0148
|Pien-wai|0148
|Pienza|0149
|Pierantoni, Augusto|0149
|Pierce, Franklin|0149
|Pieria|0149
|Pierider|0149
|Pieris|0149
|Pierné, Gabriel|0149
|Piero delle Vigne|0149
|Piero di Cosimo|0149-0150
|Pierre|0150
|Pierre, Jean|0150
|Pierrefonds|0150
|Pierret, Paul|0150
|Pierrette|0150
|Pierrot|0150
|Pierson, Allard|0150
|Pierson, Blanche Adeline|0150
|Pierson, Henry Hugo|0150-0151
|Pierson, Nikolaas Gerrard|0151
|Piesport|0151
|Pieta|0151
|Pietarsaari|0151
|Pietas|0151
|Pieter Maritzburg|0151
|Pieterzen, Aert|0151
|Pietet|0151
|Pietisme|0151-0152
|Pietist|0152
|Pietra perzia|0152
|Pietrasanta|0152
|Pietro, Fra|0153
|Pietsch, Richard|0153
|Pieve di Cadore|0153
|Pieve di Cento|0153
|Piezoelektricitet|0153
|Piezometer|0153
|Pifferari|0153
|Pigafetta, Antonio|0153
|Pigalle, Jean Baptiste|0153-0154
|Pigault-Lebrun, Antoine|0154
|Pigen fra Norge|0154
|Pigen fra Orléans|0154
|Pigeon|0154
|Pigeon River|0154
|Pigfinnefisk|0154
|Pigfrø|0154
|Pighajer|0154
|Pighudene|0155
|Pighvarre|0155
|Pigjern|0155
|Piglhein, Elimar Ulrich Bruno|0155
|Piglyster|0155
|Pigment|0156
|Pigmentatrofi|0156
|Pigmentbakterier|0156
|Pigmentbrunt|0156
|Pigmentfotografi|0156
|Pigmentgravure|0156
|Pigmentpapir|0156
|Pigmentsvulst|0156
|Pignolen|0156
|Pignotti, Lorenzo|0156-0157
|pignus|0157
|Pigres|0157
|Pigrokke|0157
|Pigrotter|0157-0158
|Pigsild|0158
|Pigsmerling|0158
|Pigsnegl|0158
|Pigstraaler|0158
|Pigsvampe|0158
|Pigtraad|0158
|Pigtraadshegn|0158-0160
|Pigæble|0160
|Pihl, Abraham|0160
|Pihl, Carl Abraham|0160-0161
|Pihl, Oluf Andreas Löwold|0161
|Piil, Christian Actonius Theodorus|0161
|piis manibus|0161
|Pijnacker, Adam|0161
|Pik (Søv.)|0161
|Pik (d. s. s. Covid)|0161
|Pikador|0161
|pikant|0161
|Pike (Lanse)|0161
|Pike (se dobbeltvævede Stoffer)|0161
|Pikener|0161-0162
|pikere|0162
|Pikermifaunaen|0162
|Pikes Peak|0162
|Piket|0162
|Pikfald|0162
|pikhugget|0162
|Pikkelhering|0162
|Pikkenik|0162
|Pikkeronne|0162
|Pikkert|0162
|Pikkolo|0162
|Pikol|0162
|Pikoliner|0162
|Pikramin|0162
|Pikrater|0162
|Pikrinsyre|0162
|Pikrit|0162
|Pikritporfyrit|0162
|Pikrocyaminsyre|0162
|Pikrofarmakolit|0162
|Pikrokarmin|0162
|Pikrokrener|0162
|Pikrolit|0162
|Pikromerit|0162
|Pikrosmin|0162
|Pikrotoxin|0162
|Piktaver|0162
|Pikter|0163
|Piktervold|0163
|Piktografi|0163
|Pikul|0163
|Pikør|0163
|Pil (til Buer)|0163
|Pil (mat.)|0163
|Pil (Træ)|0163-0165
|Pilar, Villa del|0165
|Pilarer|0165
|Pilaster|0165
|Pilâtre de Rozier, Jean François|0165
|Pilatus, Pontius|0165-0166
|Pilatus (Bjerg)|0166
|Pilatus-Akterne|0166
|Pilatusbanen|0166
|Pilau|0166
|Pilblad|0166
|Pilchard|0166
|Pilcomayo|0166
|pildannet|0167
|Piledyrkning|0167
|Pilefamilien|0167
|Pilegift|0167
|Pilegrim|0167
|Pilegrimsfædrene|0167
|Pilegrimstegn|0167-0168
|Pilelarve|0168
|Pilen|0168
|pilentum|0168
|Pileordenen|0168
|Pileroser|0168
|Piles, Roger de|0168
|Pileurt|0168
|pileus|0168
|Pilfinke|0168
|Pilhoveder|0168
|Pilibhit|0168
|Pilitkersantit|0168
|Piliza|0168
|Pilk|0168
|Pilkværn|0168
|Pillau|0168
|Pille|0168
|Pillebille|0168
|Pilledrager|0169
|Piller|0169
|Pillersdorf, Franz|0169
|Pilliard, Jacques|0169
|Pillnitz|0169
|Pillon, Col de|0169
|Pilloy, Frederik Daniel de|0169
|Pilo, Karl Gustaf|0169-0170
|Pilobolus|0170
|Pilocarpin|0170
|Pilocarpus|0170
|Pilocereus|0170
|Pilon, Germain|0170-0171
|Pilot|0171
|pilotere|0171
|Piloty, Karl Theodor v.|0171
|Pilrokke|0171
|Pils, Isidore Alexandre Augustin|0171
|Pilsen|0171-0172
|Pilsudski, Josef|0172
|Pilsøm|0172
|Pilten|0172
|Pilularia|0172
|pilulæ|0172
|pilum|0172
|Pilumnus og Picumnus|0172
|Pilz, Vincenz|0172
|Pima|0172
|Piment|0172
|Pimenta|0172-0173
|Pimpernelle|0173
|Pimpinella|0173
|Pimpinelle|0173
|Pimplariæ|0173
|Pimpsten|0173
|Pina|0173
|Pinaceæ|0173
|Pinacle|0173
|Pinacyanol|0173
|Pinaflavin|0173
|Pinakiolit|0173
|Pinakoid|0173
|Pinakolsalt|0173
|Pinakotek|0173
|Pinakrom|0173
|Pinang (se Areca)|0173
|Pinang (Ø)|0173
|Pinar del Rio|0173-0174
|Pinatypi|0174
|Pinaverdol|0174
|Pinazo, José|0174
|Pitice-nez|0174
|Pincet|0174
|Pinchbeck|0174
|Pincher|0174
|Pinches, Theophilus Goldridge|0174
|Pinchetti, Giulio|0174
|Pincius mons|0174
|Pinczow|0174
|Pind|0174-0175
|Pindaros|0175-0176
|Pindarus Thebanus|0176
|Pindekompas|0176
|Pindemonte, Giovanni Marchese|0176
|Pindemonte, Ippòlito|0176
|Pindhose|0176
|Pindklo|0176
|Pindos|0177
|Pindsvin|0177-0178
|Pindsvinefisk|0178
|Pindsvineknop|0178
|Pindus|0178
|Pinealkirtelen|0178
|Pineau, Léon|0178
|Pine Barrens|0178
|Pine Bluff|0178
|Pinebænk|0178
|Pinega|0178
|Pinel, Philippe|0178-0179
|Pinelli|0179
|Pinelli, Ettore|0179
|Pinelli, Luigi Pompeo|0179
|Pinellia|0179
|Pinen|0179
|Pinero, Arthur Weng|0179
|Pinerolo|0179
|Pinetum|0179
|Piney-Talg|0179
|Pingel, Christian|0179-0180
|Pingel, Johan Victorinus|0180
|Pingre, Alexandre Guy|0180
|Pinguente|0180
|Pinguicula|0180
|Pingvin|0180
|Pinheiro|0180
|Pinheiro Chagas, Manoel Joaquim|0180
|Pinicola|0180
|Pinie|0180
|Piniolen|0180
|Pinit (findes i Harpiks)|0180
|Pinit|0180
|Pinitgranit, Pinitporfyr|0180
|Pink|0180-0181
