# salmonsen/2/9/Articles.lst
#
index|Titel og indhold|0001 0003
|Accentbetegnelse og Lydskrift|0005-0006
|Medarbejdere|0007-0008
|Forkortelser|0967-0968
|Fortegnelse over Illustrationer. Bind XIII|0969-0970
|Rettelser og Trykfejl|0971-0972
#
#
-|<h2>J</h2>|
|Jernbaneret|0009-0010
|Jernbanesignaler, se Signalvæsen (Jernbanernes)|0010
|Jernbaneskatter|0010
|Jernbaneskinner, se Jernbanner, II. A. c. Baneoverbygningen|0010
|Jernbaneskole|0010
|Jernbaneskyld|0010-0011
|Jernbanestation|0011
|Jernbanestatistik|0011
|Jernbanesubventioner|0011
|Jernbanetakster, se Jernbanetariffer|0011
|Jernbanetariffer|0011-0017
|Jernbanetelegraf, se Telegraf|0017
|Jernbanetid, se Zonetid|0017
|Jernbanetog|0017-0020
|Jernbanetropper|0020
|Jernbaneulykker|0020-0022
|Jernbaneunderbygning, se Jernbaner, II. A. b., Baneunderbygningen|0022
|Jernbanevogne|0022-0035
|Jernbarde, isl. Járnbarði|0035
|Jernberg, 1) August|0035
|Jernberg, 2) Olof|0035
|Jernbeton ell. armeret Beton|0035-0038
|Jernbjælker|0038
|Jernblaat, se Vivianit|0038
|Jernblaatryk, d. s. s. Cyanotypi|0038
|Jernblik|0038
|Jernblomster, se Aragonit|0038
|Jernbrev|0038
|Jernbroer, se Broer|0038
|Jernbromider|0038-0039
|Jernbromyre, Ferrobromid, se Jernbromider|0039
|Jernbrug, d. s. s. Jernværk|0039
|Jernbryllup|0039
|Jernbyrd, se Gudsdom|0039
|Jerncitrat, Ferricitrat|0039
|Jerncyanider|0039
|Jerndahl, Aron|0039
|Jerndobbeltilte, d. s. s. Jernmellemilte|0039
|Jerndorff, August Andreas|0039-0040
|Jerndorff, Just Ulrik|0040
|Jerndorff, Peter William|0040
|Jerndraaber|0040
|Jerne|0040
|Jernerts, se Jernmalme|0040
|Jernfløde|0040
|Jernforekomster|0040-0041
|Jernforilte, Ferrooxyd|0041
|Jernforiltesalte (Ferrosalte), se Jernsalte|0041
|Jernfosfater, Ferrofosfat|0041
|Jernfremstilling|0041-0044
|Jerngade, se Højovn|0044
|Jerngarn, Eisengarn|0044
|Jernglans (Blodstensmalm, Hæmatit, Rødjernsten)|0044-0045
|Jernglimmer, se Jernglans|0045
|Jerngnejs|0045
|Jernhammer|0045
|Jernhovedet, se Demir-Basch|0045
|Jernhydroxyd, Ferrihydroxyd, Jerntveiltehydrat|0045
|Jernhydroxydul, Ferrohydroxyd, se Jernhydroxyd|0045
|Jernhytte, d. s. s. Jernværk|0045
|Jernilte, se Jernforilte og Jerntveilte|0045
|Jernit, se Frijsenborg|0045
|Jernjodyre, Jernforjod, Ferrojodid, Jodjern|0045
|Jernkalksten|0045
|Jernkarbid|0045
|Jernkarbonat, Ferrokarbonat|0045
|Jernkis, d. s. s. Svovlkis|0045
|Jernkisel|0045
|Jernkit, se Kit|0045
|Jernklinker|0045
|Jernklorid, Ferriklorid, Jerntveklor|0045-0046
|Jernklorsyre, Jernforklor, Ferroklorid|0046
|Jernno|0046
|Jernko (ogsaa Jernkvæg, Jernfæ)|0046
|Jernkonstruktioner|0046-0048
|Jernkontoret|0048
|Jernkorset|0048
|Jernkrone, den lombardiske|0048
|Jernkulilte, d. s. s. Jernkuloxyd|0048
|Jernkuloxyd, Jernkarbonyl|0048
|Jernkulstoflegeringer|0048-0051
|Jernlak|0051
|Jernlaktat, mælkesurt Jernforilte, se Mælkesyre|0051
|Jernlegeringer|0051
|Jernler|0051
|Jernlersfliser, se Fliser|0051
|Jernlikør|0051
|Jernmalme (Jernertser)|0051-0052
|Jernmasken, Manden med|0052-0053
|Jernmellemilte, Jernoxyduloxyd, Ferroferrioxyd|0053
|Jernmønnie, se Engelskrødt|0053
|Jernnikkelkis, se Blende|0053
|Jernokker|0053
|Jernolie (Oleum, martis, Liqvor stypticus)|0053
|Jernoolit (oolitisk Jernmalm)|0053
|Jernopal, d. s. s. Jaspopal|0053
|Jernopløsning, dialyseret (Liqvor Ferri dialysati, Liqvor Ferri oxychlorati)|0053
|Jernoxyd, se Jerntveilte|0053
|Jernoxydsaccharat, d. s. s. Jernsukker|0053
|Jernoxydul, d. s. s. Jernforilte|0053
|Jernoxyduloxyd, d. s. s. Jernmellemilte|0053
|Jernoxydulsalte, d. s. s. Jernforiltesalte|0053
|Jernoxydulsulfat, Ferrosulfat, d. s. s. Jernvitriol|0053
|Jernpiller|0053
|Jernporten|0053
|Jern-Portlandcement|0053-0054
|Jernpræparater|0054-0055
|Jernprøve, se Jernprøvning og Gudsdomme|0055
|Jernprøvning|0055
|Jernpulver|0055
|Jernroser, se Jernglans|0055
|Jernsaccharat, se Jernsukker|0055
|Jernsafran, se jerntveilte|0055
|Jernsalte|0055
|Jernsaxe, Jættekvinde; d. s. s. Jarnsaxa|0055
|Jernside|0055
|Jernsirup, Jodjernsaft, se Jernpræparater|0055
|Jernskelfarve|0055
|Jernskjæg|0055-0056
|Jernskjæg, Edel|0056
|Jernskov, stor, uigennemtrængelig Skov, se Jernveden|0056
|Jernso|0056
|Jernsort, d. s. s. Grafit|0056
|Jernspat (Siderit, Spatjernsten)|0056
|Jernspurv (Accentor modularis), se Brunelle|0056
|Jernsten, d. s. s. Jernmalm|0056
|Jernstøberi|0056
|Jernsukker, Jernsaccharat (Oxydum ferricum saccharatum, Ferrum oxydatum saccharatum)|0057
|Jernsulfater|0057
|Jernsulfid, se Svovljern|0057
|Jernsulfureter, se Svovljern|0057
|Jernsvamp|0057
|Jernsyre|0057
|Jernsøjler|0057-0058
|Jerntab|0058
|Jerntinktur|0058
|Jerntraad|0058
|Jerntraadshegn|0058
|Jerntraadstove|0058-0059
|Jerntræ|0059
|Jerntveilte, Jernoxyd, Jernsesquioxyd, Ferrioxyd|0059-0060
|Jerntveiltesalte, se Jernsalte|0060
|Jerntæppe|0060
|Jernurt, se Verbena|0060
|Jernvande, se Mineralvande|0060
|Jernveden (gammeldansk: Jarnwith)|0060
|Jernvin, se Jernpræparater|0060
|Jernvinsten, se Jernpræparater|0060
|Jernvitriol, grøn Vitriol, svovlsurt Jernforilte, Ferrosulfat|0060
|Jernværk (sv. »Jernbruk«, tysk »Eisenhütte«)|0060-0061
|Jernzinkspat er jernholdig Zinkspat|0061
|Jeroboam, hebr. Jarobam|0061
|Jérôme, se Bonaparte, S. 627|0061
|Jerome, Jerome Klapka|0061
|Jerrold, Douglas William|0061
|Jerrold, William Blanchard|0061
|Jersey, normannisk Ø|0061
|Jersey, Trikotstof|0061
|Jersey City|0061
|Jerseykvæg, se Kvægracer|0062
|Jerseyshore, Jersey Shore|0062
|Jerseyville|0062
|Jersin, Jens Dinesen|0062
|Jerubbaal, se Gideon|0062
|Jerusalem|0062-0072
|Jerusalem, kristent Kongerige|0072-0073
|Jerusalems Kirke, se Swedenborg|0073
|Jerusalems Skomager, se Ahasverus|0073
|Jeruslan|0073
|Jervin|0073
|Jervis, John|0073
|Jesabel, se Izebel|0073
|Jesaja|0073-0074
|Jesd, Jesdegerd, se Jezd, Jezdegerd|0074
|Jeshil Irmak|0074
|Jesi, Romernes Æsis|0074
|Jesi, Samuele|0074
|Jesid, d. s. s. Jezid|0074
|Jesino, se Esino|0074
|Jeso (Jesso, jap. Hokkaido)|0074-0075
|Jespersen, Henrik Gamst|0075
|Jespersen, Jens Otto Harry|0075
|Jespersen, Jesper|0075
|Jespersen, Olfert|0076
|Jesreel|0076
|Jessen (von J.)|0076
|Jessen, Carl Arnold Edvin|0076-0077
|Jessen, Carl Vilhelm|0077
|Jessen, Franz Christopher von|0077
|Jessen, Jens|0077-0078
|Jessen, Johan Christian von|0078
|Jessen, Juliane Marie|0078
|Jessen, Thomas Balthasar von|0078-0079
|Jessen, Tycho|0079
|Jessen, Tycho Carl Wilhelm|0079
|Jessentuki|0079
|Jesso|0079
|Jessore|0079
|Jesuaterorden|0079
|Jesu Barndoms Bog|0079
|Jesu hellige Hjerte|0079
|Jesuiterorden|0079-0084
|Jesuiterstil|0084
|Jesuitinder|0084
|Jesus Kristus|0084-0096
|Jesus Sirach's Bog|0096
|Jet, se Gagat|0096
|Jetée|0096
|Jetée Trævler|0096
|Jeton|0096-0097
|Jetro|0097
|jettatore|0097
|Jetti-shar|0097
|Jetur|0097
|Jeu|0097
|Jeumont|0097
|jeunesse dorée|0097
|jeux floraux|0097
|Jevdokimov, Nikolai Ivannovitsch|0097
|Jever|0097
|Jevnaker|0097-0098
|Jevons, William Stanley|0098
|Jevpatorija|0098
|Jeypore|0099
|Jezd|0099
|Jezdegerd|0099
|Jezekit|0099
|Jezid|0099
|Jezider|0099-0100
|Jezirah|0100
|Jhansi|0100
|Jhelam|0100
|Jhering, Caspar Rudolph von|0100-0101
|Jibara|0101
|Jičin|0101
|Jiddisch|0101-0102
|Jig|0102
|Ji-Høng|0102-0103
|Jijona|0103
|Jildiz-Kiosk|0103
|Jimena de la Frontera|0103
|Jimenez|0103
|Jimenez, Franzisco de Cisneros|0103-0104
|Jimenez, Juan Ramón|0104
|Jimenez, Luis|0104
|Jimenez y Aranda, José|0104
|Jimmu-tenno|0104
|Jina'er|0104
|Jingoisme|0104
|Jinriksha|0104
|Jipe|0104
|Jirásek, Alois|0104-0105
|Jireček, Hermenegild og Josef og Konstantin|0105
|Jiron|0105
|Jisreel|0105
|Jiu-jitsu ell. ju-jutso|0105
|Jiulu|0105
|Jivaarit|0105
|Jo ell. Fiskejo|0105
|Joab|0105
|Joachaz|0105
|Joachim (Kurfyrster af Brandenburg)|0105-0106
|Joachim I|0106
|Joachim a Fiore|0106
|Joachim, Joseph|0106-0107
|Joachimsthal|0107
|Joachimsthaler|0107
|Joanes|0107
|Joanne, Adolphe-Laurent|0107
|João|0107
|Joas|0107
|Job|0107-0108
|Jobbé-Duval, Armand Marie Felix|0108
|Jobber|0108
|Jobi|0108
|Jobspost|0108
|Jochanan ben Zakkaj|0108
|Jochmus, August Giacomo|0108
|Jochumsson, Mattias|0108-0109
|Jockey|0109
|Jockeyklub|0109
|Jockeyridt|0109
|Jocrisse|0109
|jocus|0109
|Jod|0109-0110
|Jodammonium|0110
|Jodargyrit|0110
|Jodarsen|0110
|Jodaseptol|0110
|Jodater|0110
|Jodbaryum|0110
|Jodbly|0110
|Jodbrinte|0110
|Jodbrintesyre|0110
|Jodcinnober|0110
|Joddraaber|0110
|Jode|0110-0111
|Jodeksantem|0111
|Jodelle, Etienne de, Seigneur de Lymodin|0111
|Jodfluorescein|0111
|Jodforgiftning|0111
|Jodformyl|0111
|Jodfosfor|0111
|Jodhpur|0111
|Jodider|0111
|Jodipin|0111
|Jodisme|0111
|Jodit|0111
|Jodival|0111
|Jodjern|0111
|Jodjernpiller, Jodjernsaft|0111
|Jodjodkalium|0111-0112
|Jodkadmium|0112
|Jodkalium|0112
|Jodkaliumsalve|0112
|Jodklorider|0112
|Jodkobber|0112
|Jodkvægsølv|0112
|Jodkvælstof|0112
|Jodl, Friedrich|0112
|Jodlen|0112
|Jodmetaller|0112
|Jodmetyl|0112
|Jodnatrium|0112
|Jodobromit|0112
|Jodofan|0112
|Jodoform|0112-0113
|Jodoformforgiftning|0113
|Jodoformgaze|0113
|Jodoformin|0113
|Jodoformogen|0113
|Jodoigne|0113
|Jodol|0113
|Jodometri|0113
|Jodoniumbaser|0113
|Jodosobenzol|0113
|Jodosoforbindelser|0113
|Jodospongin|0113
|Jodothyrin|0113-0114
|Jodoversyre|0114
|Jodpræparater|0114
|Jodsalte|0114
|Jodsalve|0114
|Jodsnue|0114
|Jodsprit|0114
|Jodsvovl|0114
|Jodsyre|0114
|Jodsæbe|0114
|Jodsølv|0114
|Jodtal|0114
|Jodtinktur|0114
|Jodviolet|0114
|Jodyrit|0114
|Jodætyl|0114
|Joel|0114
|Joest|0114
|Joest, Wilhelm|0114
