# salmonsen/2/9/Articles.lst
#
index|Titel og indhold|0001 0003
|Joffre, Joseph Jacques Césaire|0114-0115
|Jofur|0115
|Jogi|0115
|Jogurth|0115
|Johan (Forkortelse af Johannes)|0115
|Johan II (svensk Konge)|0115
|Johan I Sverkersson|0115
|Johan III (svensk Konge)|0115-0116
|Johan (Hertug af Östergötland)|0116
|Johan, Baptist Josef Fabian Sebastian|0116-0117
|Johan Cicero|0117
|Johan Georg|0117
|Johan Sigismund|0117
|Johan den Uforfærdede|0117
|Johan af Luxembourg|0118
|Johan af Gaunt|0118
|Johan II den Gode|0118
|Johan Adolf|0118
|Johan den Milde|0118-0119
|Johan Moritz|0119
|Johan Adolf|0119
|Johan Kasimir|0119-0120
|Johan Kasimir|0120
|Johan Sobiesky|0120
|Johan uden Land|0120-0121
|Johan (portug. Konger)|0121-0122
|Johan (sachsiske Kurfyrster)|0122
|Johan den Trofaste|0122
|Johan Frederik|0122
|Johan (Konge af Sachsen)|0122-0123
|Johan af Schwaben|0123
|Johan Nepomuk|0123
|Johanan|0123
|Johanne|0123
|Johanne af Navarra|0123
|Johanne den Vanvittige|0123-0124
|Johanne I|0124
|Johanne II|0124
|Johannes (Apostel- og Døbernavnet)|0124
|Johannes (en af Jesu Apostle)|0124-0125
|Johannes (byzantinske Kejsere)|0125-0126
|Johannes (Paver)|0126-0127
|Johannes (Hersker i Abessinien)|0127
|Johannes' Aabenbaring|0127-0129
|Johannesbrevene|0129-0130
|Johannesbrødtræ|0130
|Johannesburg|0130
|Johannes Chrysorrhoas|0130
|Johannes Dacus|0130
|Johannes Døberen|0130-0131
|Johannesen, Edvard Holm|0131
|Johannesen, Hans Christian|0131-0132
|Johannesevangeliet|0132-0135
|Johannes fra Antiocheia|0135
|Johannes fra Damaskus|0135
|Johannes fra Salisbury|0135-0136
|Johannes-Kristne|0136
|Johannes Magnus|0136
|Johannes Markus|0136
|Johannes Presbyter|0136
|Johannes Scottus Eriugena|0136
|Johannes Secundus|0136-0137
|Johannessen, Axel Theodor|0137
|Johannessen, Berndt Johan|0137
|Johanngeorgenstadt|0137
|Johannisberg|0137
|Johannit|0137
|Johanniterinder|0137
|Johanniterorden|0137-0139
|Johannitius|0139
|Johannot|0139
|Johannsen, Bertha Agnes Elise og Julius Ernst Christian|0139
|Johannsen, Fritz|0139
|Johannsen, Gustav Henrik Jøns|0139-0140
|Johannsen, Wilhelm Ludvig|0140-0141
|Johannsson, Johan|0141
|Johansen, Anders Cornelius|0141
|Johansen, David Monrad|0141
|Johansen, Edvard Sextus|0141
|Johansen, Frederik Hjalmar|0141-0142
|Johansen, Peter|0142
|Johansen, Viggo|0142
|Johanson, Arvid Klas William|0142
|Johanssen, Jan Christian|0142-0143
|Johansson, Karl Ferdinand|0143
|Johansson, Gustaf|0143
|Johk|0143
|John|0143
|John, Eugenie|0143
|John, Charles Edward St|0143
|John Bull|0143
|Johnit|0143
|John O'Groats House|0143
|Johnsen, Hjalmar|0143-0144
|Johnsen, Johan Christian|0144
|Johnsen, Oscar Albert|0144
|Johnsen, Peter Markus Gjøe Rosenkrantz|0144
|Johnson, Andrew|0144-0145
|Johnson, Eastman|0145
|Johnson, Edward Killingworth|0145
|Johnson, Frost|0145
|Johnson, Gisle Christian|0145-0147
|Johnson, Harry John|0147
|Johnson, Manuel John|0147
|Johnson, Samuel (eng. antikatolsk politisk Forf.)|0147
|Johnson, Samuel (eng. Forf.)|0147-0148
|Johnson, Samuel (nordamer. Religionshistoriker)|0148
|Johnsonburg|0148
|Johnson City|0148
|Johnsson, John William Schibbye|0148
|Johnston|0148
|Johnston, Albert Sidney|0148
|Johnston, Alexander|0149
|Johnston, Alexander-Keith|0149
|Johnston, George|0149
|Johnston, Harry Hamilton|0149
|Johnston, Joseph Eccleston|0149
|Johnston, Keith|0149
|Johnstone|0149
|Johnstone, Charles|0150
|Johnstown|0150
|Johnstrup, Johannes Frederik|0150
|Johnstrupit|0150
|Johor|0150
|Joigny|0150
|Joinville|0151
|Joinville, François Ferdinand, Fyrste af|0151
|Joinville, Jean|0151
|Joinville-Land|0151
|Jojada|0151
|Jojakim|0151-0152
|Jojakin|0152
|Jókai, Maurus|0152
|Jokebed|0152
|Joki|0152
|Jokkaitshi|0152
|Jokohama|0152
|Joktan|0152
|Jokum|0152
|Jol|0152
|Jol ell. Kvann-jol|0152
|Jola|0152
|Jólablót|0152
|Jolaferd ell. Jolaskreid|0152
|Joliet|0152
|Jolin, Johan Kristofer|0152-0153
|Jolle|0153
|Jollebom|0153
|Jolly, Julius (tysk Statsmand)|0153
|Jolly, Julius (tysk Sanskritist)|0153
|Jolly, Philipp Gustav von|0153
|Jolne|0153
|Jolof|0153
|Jolo-Øer|0153
|Joly's Farvefotograferingsmetode|0153
|Joly's Fotometer|0153
|Joma|0153
|Jomard, Edme François|0153-0154
|Jomfru|0154
|Jomfru (Brolæggerjomfru)|0154
|Jomfru (Søv.)|0154
|Jomfrubly|0154
|Jomfrubur|0154
|Jomfruen (Stjernetegn og Stjernebillede|0154
|Jomfruen (Bjerg)|0154
|Jomfruen i det grønne|0154
|Jomfrufødsel|0154
|Jomfruhaar|0154
|Jomfruhonning|0154
|Jomfrukam|0154
|Jomfrukloster|0154-0155
|Jomfrukolumner ell. Jomfrusats|0155
|Jomfruland|0155
|Jomfru Maria|0155
|Jomfru, Nøgen|0155
|Jomfruolie|0155
|Jomfrusild|0155
|Jomfrutale|0155
|Jomfrutrane|0155
|Jomfruvoks|0155
|Jomfruøerne|0155
|Jomini, Henry|0155-0156
|Jom kippur|0156
|Jommelli, Nicola|0156
|Jomsborg|0156-0157
|Jomsvikingadrapa|0157
|Jomsvikingasaga|0157
|Jomsvikinger|0157
|Jon|0157
|Jona eller Icolmkill|0157-0158
|Jona|0158
|Jón Arason|0158
|Jonas (se Jona)|0158
|Jonas (Biskop af Orléans)|0158
|Jonas, Emil Jacob|0158
|Jonas, Justus|0158
|Jónassen, Jónas (isl. Læge)|0158
|Jónassen, Jónas (isl. Digter og Præst)|0158
|Jonatan|0158-0159
|Jonathan Oldstyle|0159
|Jon Brynjulvssøn|0159
|Joncières, Felix Ludger Victorin de|0159
|Jonckbloet, Willem Jozet Andreas|0159
|Jondal|0159-0160
|Jón Einarsson|0160
|Jón Eiríksson|0160
|Jones, E. B.-|0160
|Jones, Harry David|0160
|Jones, Henry Arthur|0160
|Jones, Inigo|0160
|Jones, John Paul|0160
|Jones, Owen|0160
|Jones, Robert og Edward|0161
|Jones, Sidney|0161
|Jones, William|0161
|Jonesboro|0161
|Joneshjul|0161
|Jones Sound|0161
|Jonge, Johannes Cornelis de og Johan Karel Jacob de|0161
|Jonghe, Clement de|0161
|Jongkind, Johan Barthold|0161-0162
|Jongleur|0162
|Jon Hafthorssøn|0162
|Jón Halldórsson|0162
|jonisk (se ionisk)|0162
|Jonke|0162
|Jon Kuvlung|0162
|Jón Loptsson|0162-0163
|Jon Præst|0163-0164
|Jonquières, Frederik Lindam Gotfred|0164
|Jonquières, Henri Alexandre Antoine de Dompierre, de|0164
|Jonquières, Jean Philippe Ernest de|0165
|Jonquilla|0165
|Jon raude|0165
|Jónsbók|0165-0166
|Jonsok|0166
|Jonsokkolle|0166
|Jonson, Benjamin|0166
|Jónsson, Ari|0166-0167
|Jónsson, Arngrímur|0167
|Jónsson, Ásgeir|0167
|Jónsson, Björn|0167
|Jónsson, Björn à Skarðsá|0167
|Jónsson, Brynjólfur|0167
|Jónsson, Einar|0167-0168
|Jónsson, Eiríkur|0168
|Jónsson, Finnur|0168
|Jónsson, Finnur|0168-0169
|Jónsson, Gisli|0169
|Jónsson, Guðmundur|0169
|Jónsson, Halldór|0169
|Jónsson, Helgi|0169
|Jónsson, Hjálmar|0169
|Jónsson, Jón (isl. Præst)|0169
|Jónsson, Jón (islandsk og dansk Embedsmand)|0169-0170
|Jónsson, Jón (isl. Historiker)|0170
|Jónsson, Jón (isl. Historiker og Docent)|0170
|Jónsson, Kristján|0170
|Jónsson, Magnús|0170
|Jónsson, Olof|0170
|Jónsson, Páll|0171
|Jónsson, Steingrímur|0171
|Jonstrup|0171
|Jonvalturbine|0171
|Jonzac|0171
|Jonæsen, Søren|0171
|Jón Ögmundarson|0171
|Joplin|0171
|Joppe|0171
|Jora|0171
|Joram|0171
|Jorat|0172
|Jord (i nord. Mytologi)|0172
|Jord (se Jordbund og Jorden)|0172
|Jordaens, Jacob|0172
|Jordafgift|0172
|jordagtig|0172
|Jordakse|0172
|Jordan|0172-0173
|Jordan, Camille|0173
|Jordan, Marie Ennemond Camille|0173
|Jordan, Max|0173
|Jordan, Rudolf|0173
|Jordan, Sverre|0173
|Jordan, Sylvester|0173-0174
|Jordan, Wilhelm|0174
|Jordanalyse|0174-0175
|Jordanes|0175
|Jordanit|0175
|Jordarbejde|0175-0178
|Jordarter|0178
|Jordarter, alkaliske|0178
|Jordarter, sjældne|0178
|Jordbeg|0178
|Jordbeskrivelse|0178
|Jordblanding|0178
|Jordbonitering|0178
|Jordbor|0178
|Jordbrand|0178
|Jordbrug|0178
|Jordbrugskemi|0178-0179
|Jordbue|0179
|Jordbund|0179-0180
|Jordbundsbedømmelse|0180
|Jordbundslære (Pedologi)|0180
|Jordbælter (Zoner)|0180
|Jordbær (Fragaria L.)|0180-0182
|Jordbærkløver, se Kløver|0182
|Jordbærspinat (Blitum L.)|0182
|Jordbærtræ, se Arbutus|0182
|Jordbæræter, se Frugtætere|0182
|Jorddrot|0182
|Jorddue, se Duer, S. 488|0182
|Jorddyrkningsfondet|0182
|Jorde, Lars|0182
|Jordebog|0182-0183
|Jordebogsafgifter|0183
|Jordebogskasse|0183
|Jordebogsrettigheder|0183
|Jordegne|0183
|Jordegods|0183
|Jordemoder|0183-0184
|Jorden (terra)|0184-0187
|Jordfald|0187
|Jordfarver|0187
|Jordfjerne, se Apogæum|0187
|Jordforbedringsmidler|0187
|Jordfysik, se Geofysik|0187
|Jordfællesskab|0187-0192
|Jordfæstelse, se Begravelse|0192
|Jordglobus, se Globus|0192
|Jordgods, se Tobak|0192
|jordgravet Gods|0192
|Jordgøge, se Gøge|0192
|Jordhytte|0192
|Jordkabler, se Telegraf- og Telefonledningar|0192
|Jordklode, d. s. s. Jorden|0192
|Jordkobolt, d. s. s. Asbolan|0192
|Jordkrumning, se Jorden|0192
|Jordkrebs, se Faarekylling|0192
|Jordledning|0192
|Jordlopper (Haltica)|0192-0193
|Jordmagnetisme, se Magnetisme|0193
|Jordmandler, se Cyperus og Lathyrus|0193
|Jordmetaller, sjældne, se sjældne Jordarter|0193
|Jordmider (Trombidiidae)|0193
|Jordnære (Perigæum), se Apogæum|0193
|Jordnødder, se Lathyrus|0193
|Jordnødkager|0193
|Jordnødolie, Arakidolie|0193
|Jordnødplanten, se Arachis|0193
|Jordolie, se Petroleum|0193
|Jordpaakastelse|0193
|Jordplate, se Telegraf|0193
|Jordpyramide|0193
|Jordreform|0194-0196
|Jordrente|0197-0199
|Jordrotte, se Markmus|0199
|Jordrystelse, se Jordskælv|0199
|Jordrøg (Fumaria L.)|0199
|Jordrøgfamilien, se Valmuefamilien|0199
|Jordskok (helianthus tuberosus)|0199-0200
|Jordskorpen, se Jorden|0200
|Jordskred|0200
|Jordskud (bot.)|0200
|Jordskygge, se Maaneformørkelse|0200
|Jordskyld|0200
|Jordskælv|0200-0203
|Jordslag|0203
|Jordsmon, se Jordbund|0203
|Jordspisen (Geofagi)|0203
|Jordstjerne (Geaster Mich.)|0203
|Jordstrøm, elektrisk Strøm i Jorden|0203
|Jordstængel (bot.) d. s. s. Jordskud, se Skud|0203
|Jordstød, se Jordskælv|0203
|Jordsvale, se Svaler|0203
|Jordsvin (Orycteropus Geoffr.)|0203-0204
|Jordtemperatur|0204
|Jordtraad|0204
|Jordtryk|0204-0205
|Jordtunge (Geoglossum Pers.)|0205
|Jordvarme, se Jorden|0205
|Jordvoks, se Ozokerit|0205
|Jordværk|0205
|Joret, Charles|0205
|Joris, David|0205
|Joris, Pio|0205-0206
|Jorissen, Thomas Theodorus Hendrikus|0206
|Jorister, se Joris|0206
|Joritomo, Minamoto|0206
|Jornada|0206
|Jorsal, oldn. Jórsalir, gl dansk Jørsel, Ørselhjem|0206-0207
|Jórsalafari|0207
|Jort|0207
|Joruba|0207
|Jorullo|0207
|Jorvik|0207
|Josafat|0207
|Josafat's Dal|0207
|Josef (Jakob's Søn med Rachel)|0207
|Josef (Maria's Mand)|0207-0208
|Josef fra Arimathæa|0208
|Josef I|0208
|Josef II|0208-0210
|Josefina, Maximiliana Eugenia Napoleona|0210-0211
|Josefinisme|0211
|Josefitter|0211
|Josefos, Flavius|0211
|Josefs-Søstre, Skt|0211
|Josefstadt|0211
|Joseph, François du Tremblay|0211-0212
|Joséphine, Marie Joséphe Rose Tascher de la Pagerie|0212-0213
|Josephinit|0213
|Josephson, Ernst Abraham|0213
|Josephson, Jacob Axel|0213
|Josephson, Ludvig Oskar|0213-0214
|Josgad|0214
|Joshihito, Haru no Miya|0214
|Josias|0214
|Josias, Friedrich|0214
|Josija|0214-0215
|Jósika, Miklós|0215
|Josquin des Prés|0215
|Josselin|0215
|Jossot, Gustave Henri|0215
|Jost, Isaak Markus|0215
|Jostedal|0215-0216
|Josua|0216
|Jota (gr. Bogstav)|0216
|Jota (Nationaldans)|0216
|Jotam|0216
|Jothion|0216-0217
|Jotun|0217
|Jotunfjeldene|0217
|Jotunheim|0217
|Jotunheimen|0217
|Joubert, Barthélémy Cathérine|0217
|Joubert, Pieter|0217-0218
|Jouffroy, François|0218
|Jouffroy, Théodore Simon|0218
|Jougne, Col de|0218
|Joule|0218
|Joule, James Prescott|0218-0219
|Joules Lov|0219
|jour|0219
|Jourdan, Jean Baptiste|0219
|Jourde, François|0219
|jourhavende|0219
|journal|0219
|Journal|0219-0220
|Journal des Débats|0220
|Journal des Savants|0220
|Journalhovedbog|0220
|Journalist|0220
|Journalistforeninger|0220-0221
|Journal, Le|0221
|Journal officiel|0221
|Jouve|0221
|Jouvenet|0221-0222
|Joux, Val de|0222
|Jouy, Victor Joseph Étienne de|0222
|Jovanović, Jovan|0222
|Jovanovič, Stephan|0222
|Jovanovič, Vladimir|0222
|Jovellanos, Gaspar Melchor de|0222-0223
|jovial|0223
|Jovianus, Flavius|0223
|jovicentrisk|0223
|Jovilabium|0223
|Jovinian|0223
|Jovius|0223
|Joy, Albert Bruce|0223
|Joy, David|0223-0224
|Joyeuse, Anne de og Henri de|0224
|Joyeuse entrée|0224
|jr.|0224
|Juan|0224
|Juan da Fuca Stræde|0224
|Juan d'Austria|0224
|Juan del Norte|0224
|Juan Fernandez|0224-0225
|Juan Manuel, Don|0225
|Juan-shi-kai|0225
|Juárez|0225
|Juárez, Benito|0225-0226
|Juba (Flod)|0226
|Juba (Konger i Numidien)|0226
|Juba (lat. Metriker)|0226
|Jubal|0226
|Jubbulpore|0226
|Jubelaar ell. Afladsaar|0226-0227
|Jubilar, jubilere|0227
|Jubilate|0227
|Jubilus|0227
|Jubilæernes Bog|0227
|Jubilæum|0227
|Jubis|0227
|Jubæa|0227
|Júcar|0227
|Jucker|0227
|J. U. D.|0227
|Juda (israelitiske Stamme)|0227
|Juda (Makkabæer )|0227-0228
|Juda ha-Levi|0228
|Juda ha-nasi|0228
|Judaisme|0228
|Juda Rige|0228
|Judas (Jakob's Søn)|0228
|Judas (Jesu Broder)|0228
|Judas Barsabbas|0228
|Judas' Brev|0228-0229
|Judas Galilæeren|0229
|Judas Iskariot|0229
|Judas-Kys|0229
|Judaspenge|0229
|Judastræ|0229
|Judasøre|0229
|Judasøret|0229
|Judén, Jakob|0229-0230
|Judenburg|0230
|judex|0230
|Judic, Anna Marie Louise Damiens|0230
|Judica|0230
|Judicature acts|0230
|Judichær, Ole|0230-0231
|Judichær|0231
|judiciel|0231
|Judicium|0231
|Judikat|0231
|Judikathypotek|0231
