# salmonsen/2/9/Articles.lst
#
index|Titel og indhold|0004 0006
|frygisk Hue|0096
|frygisk Toneart|0096-0097
|Frygt|0097
|Fryken|0097
|Fryne|0097
|Frynikos|0097
|Frynser|0098-0099
|Frysemaskine, se Kølemaskine|0099
|Fryseprøve, se Frostsprængning|0099
|Frysepunkt|0099
|Frysning|0099
|Frytle|0099-0100
|Fryxell, Anders|0100
|Fryxell, Eva|0100
|Frähn, Christian Martin|0100-0101
|Frænde|0101
|Frænen|0101
|Frænke|0101
|Fraenkel, Albert|0101
|Fraenkel, Arnold Sigfried Thorald Julian|0101-0102
|Fraenkel, Bernhard|0102
|Fræse|0102
|Fræse|0103
|Fræsemaskine|0103-0104
|Frø (se Frey)|0104
|Frø (bot.)|0104-0105
|Frøaar|0105
|Frøafrensning|0105
|Frøanalyse|0105
|Frøavl|0105-0106
|Frøbed|0106
|Fröbel, August Wilhelm Friedrich|0106-0107
|Fröbel, Julius|0107
|Fröberg, Karl Johan|0107-0108
|Frøbid|0108
|Frøbidfamilien|0108
|Frøbid|0108
|Frøbiller|0108
|Frøbjerg Bavnehøj|0108
|Frøblad|0108
|Frøblanding|0108
|Frøbregner|0108
|Fröding, Gustaf|0108-0109
|Fröding, Gustaf Hugo|0109
|Frøer|0109-0112
|Frøforfalskning|0112-0113
|Frøformering|0113
|Frøgemme|0113
|Frøger|0113
|Frøhale|0113
|Frøhandel|0113-0115
|Frøhlich, Abraham Emanuel|0115
|Frøhlich, Johannes Frederik|0115-0116
|Fröhner, Eugen|0116
|Frøhus|0116
|Frøhvide|0116
|Frøj|0116
|Frøkappe|0116-0117
|Frøken|0117
|Frøkenklostre|0117
|Frøklængning|0117
|Frøkontrolanstalt|0117
|Frøkontrolkommission|0117
|Frøkontrolstation|0117-0118
|Frølaar|0118
|Frølich, Anine Marie Magdalene|0118
|Frølich, Fritz Heinrich|0118
|Frølich, J. F.|0118
|Frølich, Lorens|0118-0120
|Frölich|0120
|Frølich, Theodor Christian Brun|0120
|Frølund, Caspar Frederik Sophus|0120-0121
|frønnet|0121
|Frøpeber|0121
|Frøperspektiv|0121
|Frøplante|0121
|Frøpræparation|0121
|Frœschwiller|0121
|Frøskole|0121-0122
|Frøskæl|0122
|Frøspredning|0122-0125
|Frösslind, Christina Elisabeth|0125
|Frøstjerne|0125
|Frøstol|0126
|Frøstreng|0126
|Frøstrup|0126
|Frøstørrelse|0126
|Frøsvulst|0126
|Frösön|0126
|Frøtræer|0126
|Frøudsæd|0126
|Frøuld|0126
|Frøundersøgelse|0126-0127
|Frøvin|0127
|F. S.|0127
|Ftah|0127-0128
|Fthaleīner|0128
|Fthalsyre|0128
|Fthālsȳreanhydrid|0128
|Fthiotis|0128
|Fthiriasis|0128
|Fthisis|0128
|Fu|0128
|Fua|0128
|Fuad Pasha|0128-0129
|Fuad Pasha, Mehemed|0129
|Fua-Fusinato, Erminia|0129
|Fucaceæ|0129
|Fuchs|0129
|Fuchs, Adolf|0129
|Fuchs, Immanuel Lazarus|0129
|Fuchs, Johann Nepomuk von|0129-0130
|Fuchs, Leonhard|0130
|Fuchs, Robert|0130
|Fuchs, Rutger|0130
|Fuchsia|0130-0131
|Fuchsin|0131
|Fuchsit|0131
|Fucini, Renato|0131
|Fucino, Lago|0131
|Fuckel, Leopold|0131
|Fucus|0131
|Fuego|0131
|Fuen|0131
|Fuencaliente|0131
|Fuenmayor, Baltasar de|0131
|Fuente Alamo|0131
|Fuente de Cantos|0131-0132
|Fuente del Maëstre|0132
|Fuente Ovejuna|0132
|Fuenterrabbia|0132
|Fuentes, Don Pedro Henriquez de Azevedo de|0132
|Fuentesauco|0132
|Fuertaventura|0132
|Fufius|0132
|Fufluns|0132
|Fuga|0132-0133
|Fugara|0133
|Fugato|0133
|Fuge (d. s. s. Fuga)|0133
|Fuge (i Murværk)|0133
|Fugebank|0133
|Fugebuk|0133
|Fugehøvl|0133
|Fugejern|0133
|Fugemaskine|0133
|Fugère, Lucien|0133
|Fugger|0133-0134
|Fughetta|0134
|fugit irreparabile tempus|0134
|Fuglasker|0134
|Fugle|0134-0141
|Fuglebjerg|0141
|Fuglebjerge|0141
|Fuglebure|0141
|Fuglebær|0141
|Fugleedderkopper|0141-0143
|Fuglefangst|0143
|Fuglefjelde|0143-0144
|fuglefri|0144
|Fuglegræs|0144
|Fuglegødning|0144
|Fuglehagel|0144
|Fuglehandel|0144
|Fugleklo|0144-0145
|Fuglekonge|0145
|Fuglekæmper|0145
|Fuglekøjer|0145-0146
|Fuglelim|0146
|Fuglelus|0146
|Fuglemider|0146
|Fuglemælk|0146
|Fuglenæs|0146-0147
|Fuglepeber|0147
|Fugleperspektiv|0147
|Fuglerede|0147
|Fugleredebregne|0147
|Fuglereder|0147
|Fugleskydning|0147-0148
|Fuglestangen|0148
|Fugletunge|0148
|Fugleæg|0148
|Fugleøjetræ|0148
|Fugleøerne|0148
|Fuglse|0148
|Fuglø|0148
|Fuglø|0148
|Fugtel|0148-0149
|Fugtighed|0149-0150
|Fugtighedsmaaler|0150-0152
|Fugtighedsmaaling|0152
|Fu-hi|0152
|Fuimus Troes|0152
|Fuiren, Didrik|0152
|Fuiren, Jørgen og Henrik og Thomas og Diderik|0152-0153
|Fuirendal|0153
|Fujivara|0153
|Fukien|0153
|Fūkien-Strædet|0153
|Fukoidsandsten|0153
|Fukosan|0153
|Fuks|0153
|Fuks|0153
|Fuks|0153
|Fukssvans|0153
|Fukssveif|0153
|Fukui|0153
|Fukujuma|0153
|Fukuoka|0153
|Fuladugu|0153
|Fulbe|0153-0154
|Fulbert|0154
|Fulco V|0154
|Fulco|0154
|Fulda|0154-0155
|Fulda, Ludwig|0155
|fuldbaaret|0155
|Fuldblodighed|0155
|Fuldblodshest|0155
|Fuldbyrdelsesfrist|0155
|fulde Sejl|0155-0156
|Fuldgods|0156
|Fuldhov|0156
|fuldkomne Tal|0156
|Fuldkugle|0156
|Fuldmaane|0156
|Fuldmagt|0156-0157
|fuldmyndig|0157
|Fuldmyndighedsbevilling|0157
|fuld og bi|0157
|Fuldsild|0157
|Fuldskarp|0157-0158
|Fuldskib|0158
|fuldstændig Blomst|0158
|fuldstændig Tilbagekastning|0158
|fuldt Ror|0158
|Fulgentius|0158
|Fulgonio|0158
|Fulgoridæ|0158
|Fulgurit|0158
|Fulguritter|0158
|Fulham|0158
|Fuli|0158
|Fulica|0158
|Fuligno|0158
|Fuligo|0158
|Fuligo|0158
|Fuligo|0158
|Fuligula|0158
|Fulla|0158
|full dress|0158
|Fuller, Richard|0158-0159
|Fuller, Sarah Margaret|0159
|Fuller, Thomas|0159
|Fuller-Maitland, John Alexander|0159
|Fullerton, Georgiana|0159
|Fulmarus|0159
|fulminant|0159
|Fulminater|0159
|Fulminatin|0159
|Fulminsyre|0159
|Fulton|0159
|Fulton, Robert|0159-0160
|Fulu|0160
|Fulvia|0160
|Fulvius|0160-0161
|Fumagalli, Adolfo|0161
|Fumago|0161
|Fumaria|0161
|Fumariaceæ|0161
|Fumarin|0161
|Fumaroler|0161
|Fumay|0161
|Fumbina|0161
|Fumigation|0161
|fumiste|0161
|Fun|0161
|Funabashi|0161
|Funaria|0161
|Funch, Christian Ferdinand|0161-0162
|Funchal|0162
|Funck, Frederik Christian og Peter Ferdinand|0162
|Funck-Brentano, Frantz|0162
|Funcke, Otto Julius|0162
|Funckia|0162
|Fund|0162
|Funda|0162-0163
|Fundament|0163
|fundamental|0163
|Fundamentalartikler|0163
|Fundamentalligning|0163
|Fundamentalstjerner|0163
|Fundamentaltone|0163
|Fundamentering|0163
|Fundats|0163
|fundere|0163
|funderet Gæld|0163
|Fundering|0163-0170
|funditores|0170-0171
|Fundje|0171
|fundne Sager|0171
|fundus|0171
|Fundy-Bugten|0171
|funébre|0171
|Fung|0171
|fungere|0171
|Fungi|0171
|Fungia|0171
|fungible Ting|0171
|Fungus|0171
|fungøs|0171
|Funiculus|0171
|Funiushan|0171
|Funk, Franz Xaver|0171
|Funke|0171
|Funke, Otto|0171
|Funklen|0171-0172
|Funktion (Forretning)|0172
|Funktion (sprogvidenskabeligt)|0172
|Funktion ell. Livsfunktion|0172
|Funktion (mat.)|0172-0173
|Funktionlligning, Fundamentalligning|0173
|Funktionarisme|0173
|funktionel Lidelse|0173
|funktionere|0173
|Funktionsforandring|0173
|Funktionslæren|0173
|Funktiōnsteori|0173-0174
|Funktionær|0174
|Funt|0174
|fuoco|0174
|Fur|0174
|Furage|0174
|Furan|0174
|furca|0174
|Furcellaria|0174
|Fure|0174
|Furealger|0174-0176
|Furehætte|0176
|Furer|0176
|Fure Sø|0176
|fure ud|0176
|Furfuran eller Furan|0176
|Furfurankarbonsyre|0176
|Furfurol ell. Furol|0176-0177
|Furiant|0177
|Furier|0177
|Furini, Francesco|0177
|furioso|0177
|Furka|0177
|Furlong|0177
|Furneaux Øerne|0177
|furnere|0177
|Furnes (By)|0177
|Furnes (Herred)|0177
|Furness|0177
|Furness, Christopher, Sir|0177-0178
|Furnival, Frederick James|0178
|Furol|0178
|furor|0178
|Furor|0178
|Furore|0178
|Furrer, Jonas|0178
|Furth im Walde|0178
|furtim|0178
|furtiva res|0178
|furtum|0178
|Furtwangen|0178
|Furtwängler, Adolf|0178-0179
|Furu|0179
|Furu, Ole Andreas|0179
|Furuhjelm, Harald Viktor Vilhelm|0179
|Furuhjelm, Johan Otto Wladimir|0179
|Furuhjelm, Ragnar|0179
|Furunkel|0179-0180
|Furunkulose |0180
|Furunkulose (hos Fisk)|0180
|Furusund|0180
|Furuvik|0180
|Fury- og Hekla-Strædet|0180
|Fusa|0180
|Fusagasuga|0180
|Fusain|0180
|Fusan|0180
|Fusarium|0180
|Fusaro-Søen|0180
|Fuscaldo|0180
|Fuscher Dal|0180
|Fuse|0180
|Fusel|0180
|Fuselolie|0180
|Fushiki|0180
|Fushimi|0180
|Fusicladium|0180-0181
|fusiform|0181
|Fusijama|0181
|Fusinato, Arnoldo|0181
|Fusinato, Guido|0181
|Fusion|0181
|Fusionist|0181
|fuske|0181
|Fuss|0181
|Fussing, Andreas Kerrn|0181
|Fussing, Hans Nielsen|0181-0182
|Fussingø|0182
|Fust, Johan|0182
|Fustage|0182
|Fustan|0182
|Fustanelle|0182
|Fustel de Coulanges|0182-0183
|Fuster, Charles|0183
|Fustians|0183
|Fustie|0183
|Fustik|0183
|Fustin|0183
|fustuarium|0183
|Fusulinakalk|0183
|Fusus|0183
|fût|0183
|Futa Djallon|0183
|Futa Toro|0183
|Futhark|0183
|futil|0183
|Futschou|0183
|Futuna|0183
|Futurismen|0183-0184
|Futurum|0184
|Futurum exactum|0184
|Fux|0184
|Fux, Johann Joseph|0184
|Füeszli|0184-0185
|Füger, Friedrich Heinrich|0185
|Führich, Joseph von|0185
|Fykocecidier|0185
|Fykocyan|0185
|Fykoerythrin|0185
|Fykofein|0185
|Fykologi|0185
|Fykopyrrin|0185
|Fylakos|0185
|Fylakterier|0185
|Fylarkos|0185
|Fyld|0185-0186
|Fyldefoder|0186
|fylde og bakke|0186
|Fyldepen|0186
|Fyldespant|0186
|Fyldestgørelse|0186
|Fylding|0186
|fyldt Blomst|0186
|Fyler|0186
|fylfot|0186
|Fylgja|0186
|Fylke|0186
|Fylke|0186-0187
|Fylke|0187
|Fylking|0187
|Fylla|0187
|Fyllis|0187
|Fyllit|0187
|Fyllo-|0187
|Fyllodi|0188
|Fyllodie|0188
|Fyllokladie|0188
|Fyllom|0188
|Fyllomani|0188
|Fyllopoder|0188
|Fylloretin|0188
|Fyllotaksis|0188
|Fylogenese|0188
|Fylogeni|0188
|Fyn|0189-0190
|Fyndykly|0190
|Fyne|0190
|Fünfkirchen|0190
|fynske Alper|0190
|fynsk Hvede|0190
|fynsk Kvæg|0190
|Fyns Stiftstidende|0190
|Fyns Tidende|0190
|Fyr|0190-0195
|Fyr|0195
|Fyraften|0195
|Fyrbanken|0195
|Fürbringer, Max|0195
|Füred|0195
|Fyresdal|0195
|Fyresvand|0195
|Fyrgrav|0195
|fyrig|0195
|Fyrisån|0195
|Fyrisvall|0195
|Fyrkasse|0196
|Fyrmester|0196
|Fyrrebladhvepse|0196
|Fyrrebrænde|0196
|Fyrreharpiks|0196
|Fyrrelav|0196
|Fyrrenaalsbad|0196
|Fyrrenden|0196
|Fyrrespinder|0196-0198
|fyrretyve Ridderes Dag|0198
|Fyrskib|0198
|Fürst|0198
|Fyrstbiskop|0198
|Fyrste|0198-0199
|Fyrsted|0199
|Fyrstedag|0199
|Fyrsteforbundet|0199
|Fyrstehat|0199
|Fyrstelēn|0199
|Fyrsten|0199
|Fürstenau|0199
|Fürstenberg|0199
|Fürstenberg|0199-0200
|Fürstenberg, Pontus|0200
|Fürstenwalde|0200
|Fyrsteret|0200
|Fyrstespejl|0200
|Fyrstikker|0200
|Fürstner, Adolph|0200
|Fyrsvamp|0200
|Fyrtaarn|0200
|Fürth|0200-0201
|Fyrtøj|0201-0202
|Fyrværker|0202
|Fyrværkeri|0202
|Fyrvæsen|0202-0215
|Fysiater|0215
|Fysik (Legemsbeskaffenhed)|0215
|Fysik (Læren om Naturen)|0215-0219
|fysikalsk|0219
|fysikalsk Undersøgelse|0219
|Fysikomagi|0219
|Fysikoteologi|0219
|Fysikus|0219-0220
|Fysiler|0220
|Fysiognomi|0220
|Fysiognomik|0220
|Fysiognosi|0220
|Fysiografi|0220
|Fysiokrater|0220-0225
|Fysiologi, Planternes|0225
|fysiologisk Kemi|0225
|fysiologisk Kogsaltopløsning|0225
|fysiologisk Laboratorium|0225-0226
|fysiologisk Tid|0226
|Fysiologus|0226
|Fysioterapi eller fysikalsk Terapi|0226
|fysisk|0226
|fysostome|0226
|Fysostigmin|0226
|Füssel, Andreas Gotthilf|0226
|Füssen|0226
|Füssli|0226
|Fyt, Jan|0226
|Fyto|0226-0227
|Fytodomatier|0227
|fytogene|0227
|Fytogeografi|0227
|Fytoglyffer|0227
|Fytolitter|0227
|Fyton|0227
|Fytonlære|0227
|Fytopalæontologi|0227
|Fytosterin|0227
|Fyzabad|0227
|fz.|0227
|F. Z. S.|0227
|Fæ (se tillige Fai)|0227
|Fæ (levende Husdyr)|0227
|fæces|0227
|Fædrelandet|0227-0229
|Fædrelandet (norsk Blad)|0229
|Fædrelandet og Emigranten|0229
|Fædrelandets Forsvar|0229
|Fædrenemagt|0229
|Fædrus|0229-0230
|Fæggeklit, -sund|0230
|Fægodko|0230
|Fægtekunsten|0230-0232
|Fægter|0232
|Fægtning|0232-0233
|Fægtningspatrouiller|0233
|Fægtningsskydning|0233
|Fægtningstrain|0233
|fækal|0233
|Fækalier|0233
|Fækar|0233
|Fækulometer|0233
|Fæld|0233
|fælde|0233
|Fælde|0233
|fældet|0233
|Fældning|0233-0234
|Fældning|0234
|Fælg ell. Hjulfælg|0234
|Fælled|0234-0235
|Fællesforfatning|0235
|Fællesforeningen for Danmarks Brugsforeninger|0235
|Fællesformue|0235
|Fælleshavari|0235
|Fællesindenrigsministerium|0235
|Fælleskøn|0235
|Fællesmælkeri|0235
|Fællesmærker|0235
|Fællesrepræsentation, den danske Handelsstands|0235-0236
|Fællesrepræsentationen for dansk Skibsfart|0236
|Fællesrepræsentationen for de københavnske Handelsforeninger|0236
|Fællesskab (se Formuefællig)|0236
|Fællesskab (se Jordfællesskab og Udskiftning)|0236
|Fællesskabsforhold|0236
|fælles Testamente|0236
|Fællestid|0236
|Fællesudvalg|0236
|Fællig|0236-0237
|Fælæger|0237
|Fæmunden|0237
|Fæmø|0237
|Fæmø Sletterev|0237
|Fæmø Sund|0237-0238
|Fænakistoskop|0238
|Fændrik|0238
|Fænghul|0238
|Fænghætte|0238
|Fængkrudt|0238
|Fængnaalsgevær|0238
|Fængrør|0238
|Fængsel|0238
|Fængselsarbejde|0238-0239
|Fængselshjælpen|0239-0240
|Fængselshygiejne|0240
|Fængselskongresser|0240-0241
|Fængselsselskaber|0241-0242
|Fængselsstraffe|0242
|Fængselsvæsen|0242-0252
|Fængsling|0252
|Fængslingskendelse|0252
|Fænologi|0252-0254
|Fænomen|0254
|Fænomenalisme|0254
|Fænomenologi|0254
|Fänrik Ståls sägner|0254
|Fænø|0254
|Fænø Sund|0254
|Færden, Anders|0254-0255
|Færden, Michael Johan|0255
|Færder Fyr|0255
|Færeyingasaga|0255
|Færge|0255-0256
|Færgelav|0256
|Færgeløbshartkorn|0256
|Færgestrøm|0256
|Færgevæsen|0256-0257
|Færing|0257
|Fært (se Fod)|0257
|Fært (Dunst ell. Duft)|0257
|Færø Banke|0257
|Færøelīt|0257
|Færøerne|0257-0264
|Fæste|0264-0265
|Fæstebonde|0265
|Fæstebrev|0265
|Fæstefolk|0265
|Fæsteforhold|0265
|Fæstegaard|0265
|Fæstegods|0265
|Fæstekontor|0265
|Fæstelovgivning|0265
|Fæstemand|0265
|Fæstemø|0265
|Fæstensgave|0265-0266
|Fæstensøl|0266
|Fæstepenge|0266
|Fæster|0266
|Fæstet|0266
|Fæstetvang, se Bondejord og Fæste|0267
|Fæstning|0267-0272
|Fæstningsagat, se Agat|0272
|Fæstningsarbejde, se Fæstningsstraf|0272
|Fæstningsarrest|0272
|Fæstningsartilleri|0272 
|Fæstningsblokvogn|0272
|Fæstningsfirkant|0273
|Fæstningskrig|0273-0276
|Fæstningspionerkompagni|0276
|Fæstningsport|0276-0277
|Fæstningsrayon|0277
|Fæstningsskyts|0277
|Fæstningsstraf|0277
|Fæstningstropper|0277
|Føbe, d. s. s. Foibe|0277
|Føbos, d. s. s. Foibos|0277
|Fødeapparat, Fødepumpe, se Dampkedelfødeapparat|0277
|Fødekanal, se Dambrug|0277
|Fødekommune, se Forsørgelsessted|0277
|Fødekrampe, d. s. s. Eklampsi|0277
