# salmonsen/2/9/Articles.lst
#
index|Titel og indhold|0004 0006
|Accentbetegnelse og Lydskrift|0008-0009
|Medarbejdere|0010-0011
|Forkortelser|0978-0979
|Fortegnelse over Illustrationer. Bind IX|0980-0981
|Rettelser og Trykfejl|0982
#
-|<h2>F</h2>|
|Friele, Christian Frederik Gotfried|0012
|Friele, Herman|0012
|Friele, Joachim|0012
|Friendly Societies|0012-0013
|Fries (Flaus)|0013
|Fries, Adriaen de, holl. Billedhugger, se Vries|0013
|Fries, August Christian Johannes|0013
|Fries, Bengt Fredrik|0013
|Fries, Elias Magnus|0013
|Fries, Ellen|0013
|Fries, Jakob Friedrich|0014
|Fries, Karl Henrik August|0014
|Fries, Samuel Andreas|0014
|Fries, Theodor (Thore) Magnus|0014-0015
|Friesen, Carl Sebastian von|0015
|Friesen, Otto von|0015
|Friesen, Richard von|0015
|Friesen, Sixten Gabriel von|0015-0016
|Friesz, Emile Othon|0016
|frie Teatre|0016
|Frietzcky, Claes de|0016-0017
|Frifindelse|0017
|Frigaarde|0017
|Frigell, Anders|0017
|Frigg|0017
|frigid|0017
|frigidarium, se Bad, S. 486|0017
|frigiven|0017-0019
|frigællede|0019
|Frigørelsestid, se Betalingstid|0019
|Frihandel|0019-0024
|Frihavn|0024-0031
|Frihed|0031-0033
|Frihedsberøvelse|0033
|Frihedshartkorn, se Hartkorn|0033
|Frihedshuen|0033
|Frihedshævd, se Hævd|0033
|Frihedsstøtten|0033
|Frihedstræ|0033
|Friherre|0033
|Friherrekrone|0034
|Frihetstiden|0034
|Frihjul, se Cykel, S. 367|0034
|Friholter|0034
|1) Slægten Friis fra Hesselager|0034
|2) Slægten Friis fra Vadskjærgaard|0034-0035
|3) Slægten Friis fra Haraldskjær|0035
|4) Friis af Arlevad|0035
|5) Friis fra Landvig|0035
|Friis, Aage|0035-0036
|Friis, Achton|0036
|Friis, Christian|0036
|Friis, Christian|0036-0037
|Friis, Christian Laurits|0037
|Friis, Frederik|0037
|Friis, Frederik Reinholdt|0037-0038
|Friis, Hans Gabriel|0038
|Friis, Ingo Marius|0038
|Friis, Jacob Jørgen Frederik|0038
|Friis, Jens Andreas|0038-0039
|Friis, Johan|0039-0040
|Friis, Jørgen|0040
|Friis, Michael Petersen|0040
|Friis, P. Cl., d. s. s. Claussøn, P.|0040
|Friis, Steffen Christian Julius Landkilde|0040
|Friis-Hansen, Julius|0040
|Friis-Holm, Carl Peter|0040
|fri Jord|0040-0041
|Frijs, Christian Emil|0041
|Friis, Mogens Christian Krag-Juel-Vind-|0042
|Frijsenborg|0043
|Frijsenvold|0043
|Frikadelle|0043
|Frikandeau|0043
|Frikasse|0043
|frikative Lyd ell. Frikativer|0043
|Frikirke|0043-0044
|fri Konkurrence, se Frihandel og Næringsfrihed|0044
|Frikonservative|0044-0045
|Frikorps|0045
|Frikronbladede (Choripētalæ)|0045
|Friktion|0045
|Friktionsfængrør, se Fængrør|0045
|Friktionsfænomenet, se Skurestriber|0045
|Friktionshammer, se Hammer|0045
|Friktionshjul, se Kobling|0045
|Friktionskalander, se Appretur, S. 896|0045
|Friktionsklinkning|0045
|Friktionskobling, se Kobling|0045
|Friktionssats, se Sats|0045
|fri Kunster (artes liberales)|0045
|Frilager|0045-0046
|Friland|0046
|Frilandsplanter|0046
|Frille|0046
|Frille (Adelsslægt)|0046-0047
|Frille, Eggert|0047
|Friluftskoloni, se Feriekoloni|0047
|Friluftsmuseer|0047
|Friluftsteater|0047-0048
|frimaire|0048
|Frimann, 1) Claus|0048
|Frimann, 2) Peter Harboe|0048
|Frimenigheder|0048
|Frimester|0048-0049
|Frimissionen|0049
|Frimley|0049
|Frimmel, Theodor von|0049
|Frimodt, Jens Christian Rudolf|0049
|Frimodt, Johan|0049
|Frimont, Johan Maria|0049-0050
|Frimureri|0050-0055
|Frimærker, Postfrimærker|0055-0059
|Fringillidæ, se Finker|0060
|fri Næring|0060
|Frisbogen, Frissbók, codex Frisianus|0060
|Frisch, Anton von|0060
|Frisch, John Didrik|0060
|Frisches Haff|0060-0061
|Frischlin, Philipp Nicodemus|0061
|Frisco, se San Francisco|0061
|Frise|0061
|Friseddel|0061
|Frisenette, Ludvig Grandjean|0061-0062
|Friser|0062-0063
|frisere, se Frisør|0063
|friseret Due, se Duer|0063
|frisindede Venstre|0063
|Frisiske Øer|0063
|frisisk Faar, se Faar|0063
|frisisk Ret|0063-0064
|frisisk Sprog og Litteratur|0064-0065
|Friskare|0065
|friske|0065
|Friskning|0065
|Friskoler|0065
|Friskvægt, se Frøundersøgelse|0065
|Friskytte|0065
|Frisland|0065-0066
|Frisler|0066
|Frisluse|0066-0067
|Frispormærke|0067
|Fristad|0067
|Fristat, se Republik|0067
|Fristelse|0067
|Frisør|0067
|frit ab|0067
|Fritflue|0067-0068
|Frith, William Power|0068
|Frithjofssaga, d. s. s. Fridthjofssaga|0068
|Fritigern|0068
|Fritillaria|0068
|frit Lejde, se Lejde|0068
|frit om Bord, se fob|0068
|Fritrumsprofilet|0068-0069
|Fritsch, Gustav|0069
|Fritsch, Karl von|0069
|frit Skib, frit Gods|0069
|Fritsø|0069-0070
|Fritte, se Maar|0070
|fritte|0070
|Fritteporcelæn, se Porcelæn|0070
|fritto misto|0070
|Fritture|0070
|Fritturedejg|0070
|Fritz, Andreas|0070
|Fritzlar|0070
|Fritzner, Johan|0070-0071
|Fritzsch, Claudius Ditlev|0071
|Fritzsche, Adolf Theodor Hermann|0071
|Fritzsche, Franz Volkmar|0071
|Fritænker|0071
|Friuli, se Friaul|0071
|Frivagt|0071
|Frivand|0071
|Frivandsfiskeri|0071
|Frivillige|0071
|frivillige Korps|0071-0073
|frivillig Retspleje, se jurisdictio voluntaria|0073
|Frivilligt Drenge-Forbund|0073
|frivol|0073
|Frivoliteter|0073-0074
|Frixos|0074
|Frizzoni, Gustave|0074
|Froben, Johannes|0074
|Froberger, Johann Jacob|0074
|Frobisher, Martin, Sir|0074-0075
|Frobisher Bugt|0075
|Frode (danske Sagnkonger)|0075
|Frodefreden|0075
|Frodelovene|0075
|Froger, Sagnkonge, se Frøger|0075
|Frogn (Herred)|0075-0076
|Frogner|0076
|Frognerkilen|0076
|Frognersæteren|0076
|Frohavet|0076
|Frohme, Karl Frants Egon|0076
|Frohne, Jakob Vilhelm|0076-0077
|Frohschammer, Jakob|0077
|Froissart|0077
|Froland|0077-0078
|Fromage|0078
|Frome|0078
|Fromentin, Eugène|0078
|Fromentiou, Hendrik de|0078
|Fromhed|0078
|Frommel, Emil Wilhelm|0078
|Frommel, Karl Ludwig|0078
|fromme Ønsker, se desiderium|0078
|Fron|0078
|Fronden|0078-0079
|frondere|0079
|Frondør, se frondere|0079
|Fronsac|0079
|Front|0079-0080
|Front (Krigsbygningskunst)|0080
|Frontalangreb|0080
|frontalis|0080
|Frontalitetsloven|0080
|Frontera de Tabasco|0080
|Frontignan|0080
|Frontīnus, Sextus Julius|0080-0081
|Frotitispice|0081
|Frontlygter ell. -lanterner|0081
|Fronto, M. Cornelius|0081
|Fronton, se Frontispice|0081
|Front Range|0081
|Frosch|0082
|Frosinone|0082
|Frossard, Charles Auguste|0082
|Frost|0082
|Frost ell. Frostknuder|0082
|Frost, Edwin Brant|0082
|Frost, William Edward|0082
|Frosta|0082-0083
|Frostating|0083
|Frostatingsloven|0083-0084
|Frostbuler|0084
|Frostburg|0084
|Frostdag|0084
|Frosterus, Johan Gustaf|0084
|Frostfasthed, se Frostsprængning|0084
|Frostknuder, se Frost|0084
|Frostkræft|0084
|Frostliste, se Frostrevne|0084
|Frostmaaler|0084
|Frostprøve, se Frostsprængning|0084
|Frostrevne (Frostspalte)|0084
|Frostrøg, se Frosttaage|0084
|Frostskade|0084
|Frostsommerfugl|0084-0085
|Frostsprængning|0085
|Prosttaage|0085
|Frothingham, Octavius Brooks|0085
|Frottering, Gnidning|0085
|Frotterstof|0085
|Frottola|0085
|Frouard|0085
|Froude, James Anthony|0086
|Frovin, Sagnkonge, d. s. s. Frøvin|0086
|Froward, Kap|0086
|Froøerne, se Nordfrøya, Herred|0086
|F. R. S.|0086
|Fructidor|0086
|Fructus|0086
|Frue|0086-0087
|Fruebær, se Rubus|0087
|Frue Kirke, se Vor Frue Kirke|0087
|Fru Elisabeth, se Brummer, Th. C.|0087
|Fruens Bøge (Stationsby)|0087
|Fruens Bøge (højt Punkt)|0087
|Fruentimmer|0087
|Frue(r)stue|0087
|Fruesko|0087-0088
|Frug, Semjon Grigorjevitsch|0088
|Frugårdit|0088
|frugal|0088
|Frugoni, Carlo Innocenzo|0088
|Frugt|0088
|Frugtavl|0089
|Frugtbarhed|0089-0090
|Frugtblad|0090
|Frugtblomst|0090
|Frugtbonbons|0090
|Frugtbund|0090
|Frugtbuske|0090
|Frugtbærer|0090
|Frugtemne (norsk), d. s. s. Frugtknude|0090
|Frugter|0090-0091
|Frugterhvervelse, se Frugter|0091
|Frugtessenser, se Frugtætere|0091
|Frugtfølge, se Sædskifte|0091
|Frugtgelé|0091
|Frugtgren|0091
|Frugthob, se Bregner|0091
|Frugthuse|0091
|Frugthyfer|0091
|Frugtknude|0091
|Frugtlegemer|0091
|Frugtolie, se Frugtætere|0091
|Frugtsafter|0091
|Frugtsommelighed, d. s. s. Svangerskab|0091
|Frugtstand|0092
|Frugtsukker, d. s. s. Fruktose|0092
|Frugttræer|0092
|Frugtvin|0092
|Frugtætere, Frugtessenser|0092
|Frugtøje ell. Frugtknop|0092
|Fruholmen Fyr|0092
|Fruin, Robert Jakobus|0092-0093
|Fruktifikation|0093
|Fruktose, Frugtsukker, Lævulose|0093
|Frullani, Emilio|0093
|Frullīni, Luigi|0093
|Frumentarier|0093
|Frumentios|0093
|Frumerie, Agnes Augusta Emilia|0093
|Frundsberg, Georg von|0093-0094
|Fruška Gora|0094
|Frutigen|0094
|frutti di mare|0094
|Fry, Edward|0094
|Fry, Elizabeth|0094
|Fry, James|0094-0095
|Frydendahl, Peter Jørgen|0095
|Frydendal, se Torbenfeld|0095
|Frygien|0095-0096
